"Step","model.ln_type: pre-v - test/loss","model.ln_type: pre-v - test/loss__MIN","model.ln_type: pre-v - test/loss__MAX","model.ln_type: mlp-pre - test/loss","model.ln_type: mlp-pre - test/loss__MIN","model.ln_type: mlp-pre - test/loss__MAX","model.ln_type: attn-pre-v - test/loss","model.ln_type: attn-pre-v - test/loss__MIN","model.ln_type: attn-pre-v - test/loss__MAX","model.ln_type: attn-pre-qk - test/loss","model.ln_type: attn-pre-qk - test/loss__MIN","model.ln_type: attn-pre-qk - test/loss__MAX","model.ln_type: attn-pre - test/loss","model.ln_type: attn-pre - test/loss__MIN","model.ln_type: attn-pre - test/loss__MAX","model.ln_type: off - test/loss","model.ln_type: off - test/loss__MIN","model.ln_type: off - test/loss__MAX"
"1","4.865407926405299","4.847338455686418","4.879921186530999","4.780125865006443","4.771581111426357","4.7927615913976656","4.798847331313003","4.789622718845097","4.8048735126305315","4.741165250347472","4.740018963536599","4.742136395030927","4.80878946222371","4.791597287379907","4.823448799581115","4.740973989763594","4.739800238249786","4.7419605506828235"
"2","4.867011528831011","4.851100475140445","4.881103465918578","4.784947793473009","4.780879853740586","4.795273802410625","4.801351307610231","4.796059055873366","4.8067478693136","4.742642556722902","4.741764156742863","4.743991257324905","4.805024286650446","4.788022164964362","4.820439932841257","4.742167717274551","4.741534769278622","4.743425376890585"
"3","4.8698315600863396","4.857795618961904","4.880243975371494","4.789465490422585","4.7820315080002915","4.801243776002751","4.809303131686531","4.805581914486417","4.814243428482137","4.7453774315159825","4.7444625587048215","4.7467181896806565","4.806823791179615","4.790390314405018","4.822705073657541","4.74460962795012","4.743877589066315","4.745810993686551"
"4","4.873314850335631","4.864335187186351","4.8793383586917916","4.787759805409421","4.780922412565683","4.796026764116776","4.818086343064841","4.815374159923656","4.822122934366334","4.748763206664252","4.747844243266978","4.749918065969977","4.8133906182283095","4.796724106019181","4.828050482128556","4.747740283535948","4.746943621609031","4.7486880140905"
"5","4.881147473922323","4.87451326189505","4.884945302084764","4.786366146582682","4.780067945254069","4.792358293225652","4.827436738720452","4.824604964182704","4.830740813092485","4.7523721127894465","4.751519482522632","4.753344527539108","4.825266715902681","4.808692921755858","4.83666190000048","4.751057902165241","4.7504816931248275","4.7516871916545735"
"6","4.893994785418611","4.885280409889521","4.899644747483666","4.786728029326916","4.781450664747152","4.7913831109898855","4.837833741022281","4.834401838277387","4.840983526631327","4.7559299901509196","4.755192907298482","4.756789880955223","4.843383627034528","4.827794548429449","4.855951296509786","4.754133072496584","4.753705873338023","4.7546448745526755"
"7","4.911454492131901","4.894666159622461","4.920315749270818","4.788185146675135","4.785084906531836","4.7909279633850295","4.849644657163391","4.846060697660093","4.853262856035166","4.75929891433392","4.7586057178166","4.760397817531429","4.868051055496321","4.854126579940953","4.883280137183089","4.756703014806599","4.756288171926402","4.7571709960483775"
"8","4.93306818538466","4.910060896837746","4.945329443654511","4.790516702309236","4.7888839663832306","4.793884263894178","4.8630890784023695","4.859144027063268","4.867655256369845","4.762452367924631","4.761135834313152","4.76399493783224","4.898571091061551","4.886775870431932","4.9170079073309","4.758719487798435","4.758309014775528","4.759825288406565"
"9","4.958193041258097","4.9309039612130805","4.9735976113641245","4.79402874948781","4.789305268947697","4.798121910010567","4.878343509335417","4.871457581351311","4.884141091810615","4.76544210412085","4.763576994836323","4.7672933356328135","4.933620596986115","4.92358550159206","4.9549107898603255","4.760306478200365","4.759457869995904","4.761975849600849"
"10","4.985723218965859","4.955320933996188","5.003366221385365","4.798954251380984","4.792147109353471","4.804343382085245","4.895601262981076","4.885741941685783","4.9027340651717655","4.768367096388194","4.766069303362032","4.770387613768069","4.971692163889173","4.958662242796795","4.995096839601086","4.761665200535288","4.760345361216448","4.76372944017519"
"11","5.014176075100631","4.981460510983354","5.032877091118117","4.805398006558605","4.797117135335591","4.812864868426038","4.915067978059179","4.902217965041195","4.923573890483801","4.771345594169398","4.76872080880695","4.773407623766214","5.011540122241049","4.9963943288577655","5.0365964247341415","4.762992486118805","4.761330266809224","4.765229938504064"
"12","5.042272871630716","5.008044204849287","5.061154542338517","4.813508855330172","4.803486721098456","4.8236712645544575","4.936951416869648","4.9209522848924205","4.94786640406915","4.774498533776078","4.771603469238752","4.776492287542295","5.052454157525704","5.035834657793691","5.079321096008871","4.764440086326944","4.7625508094687605","4.766631891047354"
