"Step","model.ln_type: attn-pre-v - train/loss","model.ln_type: attn-pre-v - train/loss__MIN","model.ln_type: attn-pre-v - train/loss__MAX","model.ln_type: attn-pre-v - train/spec_loss","model.ln_type: attn-pre-v - train/spec_loss__MIN","model.ln_type: attn-pre-v - train/spec_loss__MAX"
"1","4.821038913726807","4.80511999130249","4.844283580780029","4.737708795176411","4.7354331666348415","4.739111308810256"
"2","4.763243770599365","4.755772113800049","4.773927211761475","4.7345811771008375","4.73290109634668","4.73558227582955"
"3","4.73151159286499","4.725079536437988","4.738559246063232","4.731836476484515","4.730473472828567","4.732777099611066"
"4","4.705904102325439","4.6989665031433105","4.7129130363464355","4.729317761588035","4.728118791089287","4.730411645749308"
"5","4.681997776031494","4.674709796905518","4.689975261688232","4.726938505975406","4.725806569148563","4.728143837415719"
"6","4.65914888381958","4.65163516998291","4.668090343475342","4.724636461574763","4.723506724846317","4.725889314939529"
"7","4.6372603416442875","4.629371166229248","4.64693546295166","4.722361177906549","4.72119138921286","4.723609277310031"
"8","4.616107749938965","4.607608795166016","4.626353740692139","4.720075101154614","4.718837551854851","4.721274115118245"
"9","4.595377445220947","4.586091041564941","4.6061692237854","4.717754945034934","4.716430195746307","4.718866578804153"
"10","4.5747943878173825","4.564614772796631","4.586253643035889","4.7153886187589436","4.71396277402735","4.716403967285544"
"11","4.554170036315918","4.543029308319092","4.566519737243652","4.712970814175301","4.711436811770421","4.7140394950293"
"12","4.53338623046875","4.521215438842773","4.546844482421875","4.7104972948286585","4.708854133942546","4.711635373495608"
"13","4.5123645782470705","4.499088764190674","4.527057647705078","4.707959512120579","4.7062052412682345","4.709180774007326"
"14","4.491054534912109","4.476622104644775","4.507040977478027","4.705342313399987","4.7034645056794675","4.706657049121412"
"15","4.469420051574707","4.45380973815918","4.48679256439209","4.702626357000489","4.700598948177613","4.704038312648486"
"16","4.447418594360352","4.430599212646484","4.466338157653809","4.699796437484833","4.697589019762127","4.701301077953469"
"17","4.425018310546875","4.406983852386475","4.445586204528809","4.696852262449212","4.694451598482677","4.698438705562212"
"18","4.40223503112793","4.383103847503662","4.424388408660889","4.693813761390292","4.691244541067612","4.695468562194225"
"19","4.379095935821534","4.359027862548828","4.402739524841309","4.690713459773795","4.688032624622283","4.692428637361957"
"20","4.355614280700683","4.334712505340576","4.380741119384766","4.6875797783709405","4.684839041265236","4.6893669951088315"
"21","4.331790733337402","4.310175895690918","4.358373641967773","4.684426657931596","4.6816370143889285","4.686324603360207"
"22","4.3075706481933596","4.285327911376953","4.335514545440674","4.681261746980292","4.67840692795207","4.683325221830475"
"23","4.282923030853271","4.260129451751709","4.312137603759766","4.678101626251196","4.6751961082501365","4.6803739122761865"
"24","4.257839202880859","4.234546661376953","4.288266181945801","4.674969896842709","4.672083876291984","4.677456042837685"
"25","4.232230567932129","4.20839262008667","4.26384162902832","4.671884819088202","4.6690930712898435","4.674560063135424"
"26","4.206037521362305","4.181705951690674","4.238785266876221","4.668854175927793","4.66617146235856","4.671704701905684"
"27","4.179216098785401","4.154502868652344","4.213064670562744","4.665874561207513","4.663250439246101","4.668922192520934"
"28","4.151688098907471","4.126713752746582","4.186666011810303","4.662936173981139","4.66031203223764","4.666217259871089"
"29","4.123335075378418","4.098180294036865","4.159520626068115","4.6600300274521","4.657388908197445","4.663559667716467"
"30","4.0939970970153805","4.068688869476318","4.13147497177124","4.657151185477812","4.654504695435711","4.660915683568885"
"31","4.063507080078125","4.038001537322998","4.102393627166748","4.654296412684691","4.651638864420153","4.658267060596382"
"32","4.031700325012207","4.005869388580322","4.072208881378174","4.651459107002215","4.648748934389126","4.655601556462784"
"33","3.9984174728393556","3.9721384048461914","4.040771484375","4.648629296337758","4.645809885333295","4.652908759755931"
"34","3.963454532623291","3.936577320098877","4.007843971252441","4.645798014391566","4.642826192779718","4.650185068444473"
"35","3.9266139030456544","3.8989949226379395","3.973257303237915","4.642959704615411","4.639809596465646","4.647431942034589"
"36","3.88771505355835","3.859208583831787","3.9368603229522705","4.640113590656134","4.636763111093253","4.644645850596923"
"37","3.846553421020508","3.8169894218444824","3.8984415531158447","4.637266862493745","4.633692120704289","4.641817857148566"
"38","3.802932929992676","3.771970510482788","3.8577992916107178","4.634435190481186","4.630615652323353","4.63894705609578"
"39","3.7566833972930906","3.7235054969787598","3.8147687911987305","4.631638966014945","4.627560966931158","4.636051600924905"
"40","3.707661771774292","3.6723437309265137","3.769188165664673","4.6288986496117905","4.624553250867953","4.633164214198064"
"41","3.6557665824890138","3.618443489074707","3.7208991050720215","4.626232745298022","4.621610964126722","4.630319658406474"
"42","3.6009403228759767","3.5618152618408203","3.6697654724121094","4.62365891271297","4.6187474190158815","4.627548135432658"
"43","3.543164825439453","3.502483367919922","3.615699052810669","4.621194704738589","4.61597454640817","4.624876124283746"
"44","3.482459211349487","3.4397242069244385","3.5586798191070557","4.618854775366098","4.613303619401372","4.622327795778899"
"45","3.418875885009766","3.37339186668396","3.4987375736236572","4.6166458720218415","4.610744619174093","4.619921803606868"
"46","3.352491331100464","3.304103374481201","3.4359219074249268","4.614564554715679","4.608309956657464","4.617666000951444"
"47","3.283394145965576","3.2320210933685303","3.370286703109741","4.612599991916115","4.6060156175007325","4.615556909629558"
"48","3.211674928665161","3.157309055328369","3.3018829822540283","4.610738658585373","4.603869374983051","4.613585477537871"
"49","3.137413167953491","3.0801005363464355","3.230768918991089","4.608965890919474","4.6018557745229245","4.611744687720095"
"50","3.060683488845825","3.000502586364746","3.1570146083831787","4.607263724146948","4.59994226132945","4.6100309790874645"
"51","2.9815502166748047","2.9186267852783203","3.080688238143921","4.605609233787207","4.598104773154266","4.60843241695638"
"52","2.9000630378723145","2.8345601558685303","3.001861333847046","4.603976823275478","4.596332643181307","4.606916987772893"
"53","2.8162776947021486","2.7483866214752197","2.92060923576355","4.602343624278474","4.594602778702588","4.605444914763174"
"54","2.7302507400512694","2.660189151763916","2.837002992630005","4.600692235375417","4.592874029184208","4.603987741042034"
"55","2.6420681953430174","2.5700700283050537","2.751145839691162","4.599007400900717","4.59111672478764","4.6025300603449475"
"56","2.551855278015137","2.478144645690918","2.66317081451416","4.597272305045604","4.589319194866256","4.601057483209034"
"57","2.4597399711608885","2.384512186050415","2.573180675506592","4.595471743828897","4.587466138230135","4.599545936707586"
"58","2.3658578872680662","2.289299964904785","2.481250286102295","4.593599224596683","4.585552425549681","4.597961886118797"
"59","2.2703629970550536","2.19266414642334","2.3874740600585938","4.591655664116811","4.58359374650197","4.5962866026903875"
"60","2.173427772521973","2.094785451889038","2.2920114994049072","4.589640776478985","4.581585547535416","4.59452820593017"
"61","2.0752211093902586","1.9958524703979492","2.195042610168457","4.587552088781083","4.579509176443547","4.592681771493126"
"62","1.9759210348129272","1.8960742950439453","2.096750497817993","4.58538844623479","4.577372124276811","4.590740191027115"
"63","1.8757223606109619","1.795669674873352","1.9973541498184204","4.5831424703054555","4.575171381312592","4.588710286167348"
"64","1.774822735786438","1.6948693990707397","1.897042989730835","4.580813570391621","4.572887597571545","4.586587709569777"
"65","1.6734414100646973","1.5938913822174072","1.7960408926010132","4.578410608531444","4.570535549913723","4.584372976658085"
"66","1.5718238830566407","1.4930059909820557","1.694625973701477","4.575923725328506","4.568117312588414","4.582055490553866"
"67","1.4702411413192749","1.3925073146820068","1.5930513143539429","4.5733542311512725","4.565621462485554","4.579641535264525"
"68","1.3689856290817262","1.2927405834197998","1.4915614128112793","4.570700400595059","4.563061408206496","4.5771343888637155"
"69","1.26839759349823","1.194067120552063","1.3904129266738892","4.567956272118382","4.560386698863066","4.574566826555198"
"70","1.1688834428787231","1.096879005432129","1.2899305820465088","4.565110574627487","4.5576440502418745","4.5718334155987215"
"71","1.0709241390228272","1.0016164779663086","1.1904772520065308","4.562196217747368","4.5547842576235","4.569149114950092"
"72","0.9752997756004333","0.9089722037315369","1.0924460887908936","4.55913656112403","4.551921259544841","4.5660870555316135"
"73","0.8833927631378173","0.8204382061958313","0.9962630867958069","4.556083420284767","4.548791089305684","4.563416056391455"
"74","0.7957584977149963","0.7384464740753174","0.9023808240890503","4.552826804980006","4.545871066649014","4.560066914585729"
"75","0.711478841304779","0.6596781015396118","0.8113018274307251","4.549671350407731","4.542675557106892","4.557170737455116"
"76","0.632133138179779","0.582374632358551","0.723664402961731","4.546322337913386","4.539460596321766","4.55404505895117"
"77","0.5575682759284973","0.5146960616111755","0.6404679417610168","4.543010569413572","4.536347805842797","4.550759233572988"
"78","0.48887978196144105","0.4484371840953827","0.564255952835083","4.539656512824209","4.533138019270869","4.547723296290764"
"79","0.4270786762237549","0.38961127400398254","0.49790504574775696","4.536278200627425","4.529811510044152","4.544517263615158"
"80","0.3689132332801819","0.33295580744743347","0.43312305212020874","4.532879963735995","4.526687723221626","4.541178162786975"
"81","0.3173062801361084","0.2850714921951294","0.37290307879447937","4.529466014395412","4.523469007879465","4.538004128103424"
"82","0.2719601601362228","0.24176283180713654","0.3249603807926178","4.526083449408179","4.52017253731403","4.534813831877359"
"83","0.2311430424451828","0.20429359376430511","0.2763715088367462","4.522742322922313","4.5170395133833265","4.531503780149355"
"84","0.19706982970237732","0.17275147140026093","0.23980961740016937","4.519382371658357","4.513919728897924","4.52829315578112"
"85","0.16654728949069977","0.14533236622810364","0.20264093577861786","4.5160646367265525","4.510750478451801","4.525236299364155"
"86","0.14177311211824417","0.12298689037561417","0.17519615590572357","4.512878728849102","4.50769493119776","4.522185065519505"
"87","0.11996076554059983","0.10395774990320206","0.1477099359035492","4.509785264291695","4.50478803191228","4.519141948752987"
"88","0.10242462158203125","0.08825016021728516","0.1279209405183792","4.5067443079128635","4.50195474482557","4.516255516574091"
"89","0.08727988302707672","0.07544130086898804","0.1083228662610054","4.503813228710654","4.49918805489773","4.513582526446715"
"90","0.07491165399551392","0.06436596810817719","0.0938233882188797","4.501049899194384","4.496548555578436","4.51104329520044"
"91","0.06461173593997956","0.05566299334168434","0.08094221353530884","4.498446703307101","4.494072213349932","4.508565588132144"
"92","0.05589571669697761","0.048157308250665665","0.06977285444736481","4.49597381477392","4.4917527168184375","4.5061834948437784"
"93","0.04878557473421097","0.04192441701889038","0.06132008507847786","4.493629309730467","4.4895747804128145","4.503980221065905"
"94","0.042791019380092624","0.036911480128765106","0.05353713780641556","4.4914363636328245","4.487530042549972","4.50199229685227"
"95","0.0377280130982399","0.032598551362752914","0.046986889094114304","4.4894103644586005","4.485619571285872","4.500183772160011"
"96","0.03354247324168682","0.028960753232240677","0.04190657660365105","4.487545502643984","4.483849305157668","4.498489842400991"
"97","0.030016144365072252","0.025991633534431458","0.03736293315887451","4.485824564237291","4.482222522552046","4.496871342355079"
"98","0.0269955538213253","0.023475278168916702","0.03334285318851471","4.4842341215510055","4.4806157634625094","4.495338139634047"
"99","0.024451303854584695","0.02129334770143032","0.03016718104481697","4.482769804241796","4.478983432310016","4.493928299970943"
"100","0.022312371432781218","0.019451763480901718","0.027512894943356514","4.48143235711064","4.477446967043727","4.492671249171159"
"101","0.020470909774303436","0.017916137352585793","0.025070425122976303","4.480221460367084","4.476034457308923","4.491567149533847"
"102","0.0188788078725338","0.016596218571066856","0.022965386509895325","4.479132136340565","4.474767015107328","4.490588921733444"
"103","0.01752351224422455","0.015437548980116844","0.02127849869430065","4.478155535699733","4.473647315024278","4.489699545087672"
"104","0.016366784647107124","0.014439532533288002","0.019834203645586967","4.477281978705768","4.472662694878605","4.488871368575136"
"105","0.015360191650688648","0.013597581535577774","0.018502313643693924","4.476503546131996","4.471793207660782","4.488097604121194"
"106","0.014480660296976566","0.01287611573934555","0.017331739887595177","4.475814733099449","4.471018452873186","4.487390641131518"
"107","0.01372111551463604","0.012238383293151855","0.01636841520667076","4.47521132356857","4.470322271164079","4.486769824930348"
"108","0.013067135214805603","0.01167480368167162","0.015552910044789314","4.4746888879430955","4.469695220139442","4.4862479129120425"
"109","0.012497280351817608","0.011190923862159252","0.014812086708843708","4.474241894166327","4.4691341607085535","4.485823400401828"
"110","0.011996345408260823","0.010780737735331059","0.014140256680548191","4.47386379904969","4.468640004409462","4.48548065321208"
"111","0.011558257602155208","0.010424381121993065","0.013563239946961403","4.473547951448116","4.468215047873418","4.485196390308934"
"112","0.011178487539291381","0.010106542147696018","0.013077828101813793","4.473288665454508","4.467861002212182","4.484948748729558"
"113","0.010849213972687722","0.009826203808188438","0.012653903104364872","4.473081850186619","4.467577482578433","4.484724936712652"
"114","0.010561560280621052","0.009587268345057964","0.012270164676010609","4.472924892178027","4.467360847091882","4.484524493961595"
"115","0.010309463739395142","0.009386230260133743","0.011926861479878426","4.472815863680838","4.467203778069369","4.484356843207542"
"116","0.010090063884854316","0.009212751872837543","0.011630146764218807","4.472752505274855","4.4670961612558","4.484234783047764"
"117","0.009901154600083829","0.009059320203959942","0.011377418413758278","4.472731516010343","4.467027151385748","4.484167425469361"
"118","0.00973927304148674","0.008925958536565304","0.011158686131238937","4.4727484236514155","4.466987570029554","4.48415566110271"
"119","0.009600150398910046","0.008814510889351368","0.010964973829686642","4.472798116776006","4.46697194354653","4.484191450826313"
"120","0.009480440244078635","0.008712219074368477","0.010792875662446022","4.47287569163357","4.466979224399345","4.48426082480053"
"121","0.009378539584577083","0.008627480827271938","0.010643362067639828","4.4729772524305265","4.467011995982273","4.484348957406154"
"122","0.009293601103127002","0.00855657085776329","0.010517561808228493","4.473100334427862","4.467074370987049","4.4844452407435975"
"123","0.009224066510796547","0.008498258888721466","0.010413108393549919","4.473243739951153","4.467169436794499","4.484546279016251"
"124","0.00916746836155653","0.008452855050563812","0.01032430212944746","4.4734069712909035","4.467297174407787","4.4846557401481615"
"125","0.009121637605130673","0.008419523946940899","0.01024644635617733","4.473589424350062","4.467453617495669","4.48478132442886"
"126","0.009085638448596","0.008395833894610405","0.010179500095546246","4.473789714644158","4.4676315366154755","4.484930275758553"
"127","0.009059211052954198","0.008379747159779072","0.01012607105076313","4.474005442243809","4.467822440212736","4.485105658119122"
"128","0.009041553921997547","0.008370918221771717","0.01008613221347332","4.47423344059128","4.468019052874871","4.485304705549547"
"129","0.00903104804456234","0.008369534276425838","0.01005536038428545","4.474470415733808","4.46821747000195","4.485519851158588"
"130","0.009026214107871055","0.008374689146876335","0.010029520839452744","4.474713667859766","4.468417904784839","4.485741687595773"
"131","0.009026491455733776","0.008384671062231064","0.010008723475039005","4.4749615778445","4.468623874781774","4.485962466833379"
"132","0.009031812287867069","0.00839846208691597","0.009995673783123493","4.475213647227129","4.468840077194159","4.486178702418502"
"133","0.009041647985577583","0.008416113443672657","0.009990563616156578","4.475470103905517","4.469069893808479","4.486391777602496"
"134","0.0090548662468791","0.008437569253146648","0.00998991634696722","4.4757312685887864","4.469313623614681","4.486606367110734"
"135","0.009070493467152118","0.00846189633011818","0.009990733116865158","4.4759969033366955","4.469567965130938","4.486827557891319"
"136","0.009088221192359924","0.008488006889820099","0.00999363511800766","4.476265897120333","4.469827064940168","4.487058089578264"
"137","0.009107988327741623","0.008515536785125732","0.010000675916671753","4.4765363440771155","4.470084574509958","4.487296896650351"
"138","0.009129347652196885","0.008544559590518475","0.010011471807956696","4.4768060653740624","4.470335996682772","4.487539562039114"
"139","0.009151489287614823","0.008574691601097584","0.010023306123912334","4.477073240269782","4.470580198759778","4.487780229721694"
"140","0.00917380377650261","0.00860512163490057","0.010034560225903988","4.477336900303911","4.470819444799851","4.488014172415063"
"141","0.009196110628545284","0.00863530021160841","0.01004613284021616","4.477597009646682","4.471057898116681","4.488239494997307"
"142","0.009218300692737103","0.008665173314511776","0.01005912572145462","4.477854151287112","4.471299383634304","4.488457570856789"
"143","0.009239993803203107","0.008694623596966267","0.010072710923850536","4.478108932024531","4.47154538836611","4.488671794251633"
"144","0.009260661900043488","0.008723167702555656","0.010085122659802437","4.47836141630521","4.47179415220685","4.488885586296406"
"145","0.00927995815873146","0.008750309236347675","0.01009583193808794","4.4786108629081856","4.4720413190950765","4.489100517986107"
"146","0.009297763556241989","0.008775888942182064","0.010105563327670097","4.4788558746646405","4.472281696152093","4.489315583083937"
"147","0.009313944168388844","0.008799849078059196","0.010114599019289017","4.479094906339185","4.47251147211047","4.489527786534838"
"148","0.009328215196728707","0.008821920491755009","0.010122111067175865","4.479326836412602","4.4727296921487545","4.489733630274007"
"149","0.00934025812894106","0.008841737173497677","0.010127205401659012","4.47955136921249","4.4729384445083085","4.489930773222431"
"150","0.009349886141717435","0.008859124965965748","0.010129863396286964","4.479768998732146","4.473141547782444","4.490118902236773"
"151","0.00935702808201313","0.008874044753611088","0.010130476206541061","4.479980603409711","4.47334253503991","4.490299490992829"
"152","0.009361591562628746","0.008886354975402355","0.010128986090421677","4.480186868556816","4.4735428505295385","4.490474712247763"
"153","0.00936340019106865","0.00889582745730877","0.01012484636157751","4.480387852015409","4.4737411516467995","4.4906461442153525"
"154","0.009362285770475865","0.008902337402105331","0.010117685422301292","4.480582871095033","4.4739340632150695","4.4908138567947615"
"155","0.009358172863721847","0.008905860595405102","0.010107624344527721","4.480770847783852","4.474117828641331","4.490976580704489"
"156","0.00935104750096798","0.008902675472199917","0.010094854980707169","4.480950795507773","4.47429011181621","4.4911324228947205"
"157","0.00934086348861456","0.00889543630182743","0.010079234838485718","4.481122319320386","4.474451025834033","4.491279951527518"
"158","0.009327532723546028","0.00888506043702364","0.010060446336865425","4.481285742466131","4.474602782958204","4.491418860278792"
"159","0.009311005100607872","0.008871404454112053","0.010038408450782299","4.481441880820035","4.4747483485449955","4.491549975816786"
"160","0.009291300550103188","0.008854517713189125","0.010013324208557606","4.4815915851587675","4.474889868676327","4.491674691746427"
