"Step","model.ln_type: pre - train/spec_accuracy","model.ln_type: pre - train/spec_accuracy__MIN","model.ln_type: pre - train/spec_accuracy__MAX","model.ln_type: pre - train/accuracy","model.ln_type: pre - train/accuracy__MIN","model.ln_type: pre - train/accuracy__MAX","model.ln_type: attn-pre - train/spec_accuracy","model.ln_type: attn-pre - train/spec_accuracy__MIN","model.ln_type: attn-pre - train/spec_accuracy__MAX","model.ln_type: attn-pre - train/accuracy","model.ln_type: attn-pre - train/accuracy__MIN","model.ln_type: attn-pre - train/accuracy__MAX","model.ln_type: mlp-pre - train/spec_accuracy","model.ln_type: mlp-pre - train/spec_accuracy__MIN","model.ln_type: mlp-pre - train/spec_accuracy__MAX","model.ln_type: mlp-pre - train/accuracy","model.ln_type: mlp-pre - train/accuracy__MIN","model.ln_type: mlp-pre - train/accuracy__MAX"
"1","0.00840511592105031","0.007308796513825655","0.010180109180510044","0.007883058954030275","0.005220568738877773","0.012268336489796638","0.009135995525866747","0.007308796513825655","0.012268336489796638","0.00824849884957075","0.00652571115642786","0.009919080883264542","0.009135995618999004","0.007830853573977947","0.010963195003569126","0.007674236316233873","0.00652571115642786","0.009919080883264542"
"2","0.009501435328274965","0.0075698248110711575","0.012529365718364716","0.010963194631040096","0.00965805258601904","0.013573478907346725","0.009971286542713642","0.007830853573977947","0.012007308192551136","0.010493343509733678","0.00809188187122345","0.013834507204592228","0.008979378547519446","0.0075698248110711575","0.011485251598060131","0.01075437180697918","0.00913599506020546","0.012529365718364716"
"3","0.010075697768479585","0.0075698248110711575","0.01305142231285572","0.014252152852714061","0.010963195003569126","0.016444791108369827","0.010388932004570962","0.008352910168468952","0.012268336489796638","0.013677890598773956","0.009397024288773537","0.017488906159996986","0.00824849884957075","0.007308796513825655","0.010441137477755547","0.01080657746642828","0.008352910168468952","0.013312450610101223"
"4","0.009919080976396799","0.0075698248110711575","0.012529365718364716","0.019472721964120865","0.0161837637424469","0.022448446601629257","0.011224223114550114","0.008352910168468952","0.012790394015610218","0.016496997326612473","0.013573478907346725","0.01905507594347","0.009344818070530891","0.00809188187122345","0.010702165775001049","0.012894805148243904","0.010963195003569126","0.013834507204592228"
"5","0.011224223021417856","0.0075698248110711575","0.013573478907346725","0.024484468251466752","0.02218741737306118","0.02636387199163437","0.011485251598060131","0.008352910168468952","0.01305142231285572","0.01962933875620365","0.01801096275448799","0.024014616385102272","0.00918820109218359","0.007047767750918865","0.012007308192551136","0.012790393829345704","0.010963195003569126","0.01409553550183773"
"6","0.011224222835153341","0.0075698248110711575","0.013834507204592228","0.03132341355085373","0.028713129460811615","0.03628295287489891","0.012529365159571171","0.008874966762959957","0.014878621324896812","0.02406682223081589","0.02114330418407917","0.027669014409184456","0.009501435142010451","0.0075698248110711575","0.011224223300814629","0.014774209633469582","0.011485251598060131","0.01827199012041092"
"7","0.011224223207682371","0.0075698248110711575","0.014356564730405807","0.03764030188322067","0.03315061330795288","0.04333072155714035","0.013573479279875756","0.009397024288773537","0.0161837637424469","0.026677107065916063","0.023753589019179344","0.028452100232243538","0.00955364080145955","0.0075698248110711575","0.011485251598060131","0.016079352423548698","0.01461759302765131","0.021926390007138252"
"8","0.011119811702519656","0.0075698248110711575","0.014878621324896812","0.04661968052387237","0.04202558100223541","0.05037849023938179","0.014304358512163162","0.010702165775001049","0.017749933525919914","0.030801356211304663","0.027407987043261528","0.03367266803979874","0.010180109273642301","0.0075698248110711575","0.012790394015610218","0.017436700128018855","0.01461759302765131","0.022970503196120262"
"9","0.011067606043070555","0.007308796513825655","0.014878621324896812","0.05502479523420334","0.047768205404281616","0.058992426842451096","0.01618376336991787","0.012790394015610218","0.01931610517203808","0.03565648496150971","0.03158444166183472","0.03863221034407616","0.0101279036141932","0.0075698248110711575","0.012790394015610218","0.0202036015689373","0.016705820336937904","0.02323153056204319"
"10","0.011902897153049707","0.007308796513825655","0.018794048577547073","0.06316888406872749","0.05324980244040489","0.0676063671708107","0.018898459523916243","0.017488906159996986","0.021665360778570175","0.04051161408424377","0.03602192550897598","0.04541894793510437","0.010336726438254118","0.0075698248110711575","0.01461759302765131","0.023179326206445694","0.02114330418407917","0.027407987043261528"
"11","0.012477159686386585","0.008352910168468952","0.01931610517203808","0.07308796346187592","0.06369093805551529","0.07961367815732956","0.020360218733549117","0.018533019348978996","0.022709473967552185","0.04406160116195679","0.038893237709999084","0.0485512912273407","0.010493343416601419","0.0075698248110711575","0.015139649622142315","0.023857999593019485","0.021404331550002098","0.02610284462571144"
