"Step","model.ln_type: pre - train/spec_loss","model.ln_type: pre - train/spec_loss__MIN","model.ln_type: pre - train/spec_loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/spec_loss","model.ln_type: attn-pre - train/spec_loss__MIN","model.ln_type: attn-pre - train/spec_loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: mlp-pre - train/spec_loss","model.ln_type: mlp-pre - train/spec_loss__MIN","model.ln_type: mlp-pre - train/spec_loss__MAX","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX"
"1","4.738951265549357","4.736566816994359","4.74029826563734","4.943988990783692","4.921494960784912","4.986854553222656","4.7378492553007705","4.735632441332491","4.739061473742569","4.831366634368896","4.815847396850586","4.856916904449463","4.739253253468725","4.737094395027992","4.740638418985706","4.874396800994873","4.846619129180908","4.955951690673828"
"2","4.737014284921854","4.735052382871008","4.738128971188821","4.8127459526062015","4.799500942230225","4.8327317237854","4.734964817086472","4.733421143824946","4.736085087285477","4.767011642456055","4.755644798278809","4.782111167907715","4.737846759017501","4.736030032713896","4.738439312841879","4.762032318115234","4.754557132720947","4.782050132751465"
"3","4.7355173315335195","4.733777349488215","4.736471212248028","4.745178985595703","4.734821796417236","4.757953643798828","4.732582749971192","4.731475759742967","4.734004295928766","4.72961311340332","4.722358703613281","4.7442522048950195","4.736753221162054","4.735107749738402","4.737436578409273","4.746901321411133","4.742686748504639","4.758113861083984"
"4","4.734225479751144","4.73259908471978","4.735114365641333","4.690530776977539","4.677698612213135","4.697993278503418","4.730454647659128","4.729321187591779","4.732201402240767","4.7016302108764645","4.692730903625488","4.709995746612549","4.7357817348399935","4.734299675354321","4.7365154498000654","4.73569974899292","4.728941917419434","4.747071743011475"
"5","4.732995652282881","4.731418022102699","4.733891193925145","4.640773677825928","4.626252174377441","4.65127420425415","4.728414186281463","4.727207851433694","4.730380561691856","4.677507305145264","4.666792392730713","4.681685447692871","4.734875723582318","4.733529421558175","4.735517954794744","4.721176528930664","4.7139201164245605","4.731227397918701"
"6","4.731767061852026","4.7302131985244396","4.732701164975976","4.591998195648193","4.578542232513428","4.606940746307373","4.726367301013779","4.725016284164803","4.728441784623412","4.65343713760376","4.64078950881958","4.660527229309082","4.733980208149324","4.732682088918752","4.734922524264906","4.708209896087647","4.700980186462402","4.719457149505615"
"7","4.730531619869657","4.728993895339286","4.731506893933424","4.543889427185059","4.530984401702881","4.558322429656982","4.724264605232519","4.722730307898082","4.726362732474018","4.627389907836914","4.6127424240112305","4.636369228363037","4.733065842876904","4.731708954353161","4.734230437865525","4.697066593170166","4.689365863800049","4.710300445556641"
"8","4.729299838740053","4.72777411877454","4.730303320432459","4.4976166725158695","4.48324728012085","4.511929988861084","4.722086341312911","4.7204947039243645","4.724142973639856","4.598858737945557","4.58268404006958","4.609064102172852","4.732124627896019","4.730637332072501","4.733435618790924","4.686448287963867","4.679542064666748","4.699650764465332"
"9","4.728083937229327","4.726565082609335","4.729099154087658","4.4524787902832035","4.435773849487305","4.468603134155273","4.7198352278933475","4.718293196751867","4.721795476816191","4.568198490142822","4.550883769989014","4.579444885253906","4.731149662302844","4.729517122394248","4.732566981398675","4.675798034667968","4.668985366821289","4.6875901222229"
"10","4.726892764894325","4.725374614582584","4.727907613772337","4.407308197021484","4.389289855957031","4.424810409545898","4.717532604895849","4.716116010661387","4.719351960255481","4.535961532592774","4.517515182495117","4.548406600952148","4.730129477048746","4.7283778805491465","4.731643428005134","4.665135288238526","4.657357692718506","4.675912380218506"
"11","4.725730298461132","4.724205979631323","4.726740825295867","4.361964321136474","4.342437267303467","4.3796892166137695","4.715211869389651","4.713963084242238","4.716860688476212","4.502454376220703","4.48258638381958","4.516257286071777","4.729044829264162","4.727215191653453","4.730662048889806","4.6543701171875","4.6455769538879395","4.66551399230957"
"12","4.72459624685631","4.723058920976476","4.725607195396376","4.316735553741455","4.296243190765381","4.334354877471924","4.712908991329148","4.711840004733833","4.714375263359507","4.467710971832275","4.446126937866211","4.4828877449035645","4.7278719307083685","4.725994796509524","4.729605282300505","4.64320125579834","4.633420944213867","4.65610933303833"
"13","4.723487468335301","4.721931249990891","4.7245106873098885","4.271653938293457","4.2506279945373535","4.289509296417236","4.710654610258143","4.709752590117985","4.711943242539362","4.431686878204346","4.408348083496094","4.4481072425842285","4.726586976958602","4.724663207949828","4.7284494992561275","4.631289672851563","4.620386600494385","4.646816253662109"
"14","4.72239989676134","4.720819565437138","4.723451020754762","4.226494789123535","4.205012321472168","4.244835376739502","4.70846924040671","4.707703329017978","4.709599958130047","4.394403743743896","4.369513511657715","4.41182279586792","4.725168844211597","4.723167489460555","4.72717512842737","4.618319320678711","4.605959892272949","4.636765480041504"
"15","4.721330322056748","4.719719835602194","4.7224247618649695","4.18105182647705","4.159045219421387","4.199740409851074","4.706361498468416","4.705689810414616","4.707366528977218","4.355933475494385","4.329728126525879","4.374023914337158","4.723601063279207","4.72147303880689","4.72582979966944","4.604049873352051","4.58989143371582","4.6255292892456055"
"16","4.720277024827891","4.71862797273431","4.721427334951532","4.135267066955566","4.112741470336914","4.154048442840576","4.7043293430366715","4.703703146618756","4.705250233341505","4.316295433044433","4.288869857788086","4.334717750549316","4.721872135724942","4.719569760759656","4.724463921954746","4.588408470153809","4.5722975730896","4.613112926483154"
"17","4.7192393827470225","4.717539915698478","4.720455167171602","4.089090633392334","4.066161155700684","4.107853412628174","4.702363638795885","4.701747270610199","4.703251666177666","4.275401210784912","4.246707916259766","4.2939252853393555","4.719974281716752","4.717465942799573","4.722936398608266","4.571509933471679","4.5535383224487305","4.599639415740967"
"18","4.718217160753566","4.716451850139303","4.719507312046303","4.042397975921631","4.019177436828613","4.062094688415527","4.700452816214821","4.699811309128396","4.701369385310557","4.233099269866943","4.203071594238281","4.251683235168457","4.717901235916152","4.715174039520104","4.721196811722288","4.5534991264343265","4.5339202880859375","4.585109233856201"
"19","4.717210283661724","4.715361594157002","4.718585743065836","3.9950506687164307","3.971548080444336","4.015994548797607","4.698586757319109","4.697901432464319","4.699545400476606","4.189270305633545","4.157930374145508","4.20801305770874","4.715645894360787","4.712694846092957","4.719218790643219","4.534383773803711","4.513265132904053","4.569448947906494"
"20","4.71621912405974","4.714271021481387","4.717693607871236","3.946905517578125","3.9230337142944336","3.9690439701080322","4.696758721513346","4.69602460046397","4.697769519252596","4.143876647949218","4.111326217651367","4.162868499755859","4.713202735394846","4.7100105536236825","4.717014307336827","4.514155769348145","4.490869045257568","4.552690505981445"
"21","4.715244540371236","4.713186975132401","4.716832673527568","3.897828197479248","3.873258590698242","3.921220064163208","4.6949656266272175","4.694189124609133","4.696055826791406","4.096926593780518","4.0632643699646","4.116121768951416","4.710574235314026","4.707093658628748","4.714693788345324","4.4929577827453615","4.467185974121094","4.534987449645996"
"22","4.7142874404968085","4.712119265370901","4.716001646051378","3.8477493286132813","3.8222193717956543","3.8724453449249268","4.693207017186997","4.692401824484397","4.694381485337731","4.048402786254883","4.013667106628418","4.067615985870361","4.707771516745732","4.7039299062031565","4.712347265093194","4.470915222167969","4.4425177574157715","4.516473770141602"
"23","4.713348373074607","4.711076970417992","4.7151957844057435","3.79665789604187","3.7699713706970215","3.8226318359375","4.691483240297346","4.690665350217119","4.692735880190432","3.998231315612793","3.9624059200286865","4.017241954803467","4.70480687940006","4.700541576306327","4.70983964747932","4.448009967803955","4.417191982269287","4.49721097946167"
"24","4.712427388497629","4.710064746976126","4.7144078456420555","3.7445209980010987","3.7166171073913574","3.771745443344116","4.689793552493615","4.688937094774756","4.691116727789587","3.9463257789611816","3.909418821334839","3.964958667755127","4.70168737519411","4.696982731805718","4.707181485833222","4.424173355102539","4.391228199005127","4.477203369140625"
"25","4.711524217168239","4.709081039201631","4.713630432527398","3.691252040863037","3.6622211933135986","3.7197799682617188","4.688134921927173","4.687204477338274","4.68952382445067","3.892640495300293","3.8547677993774414","3.910766124725342","4.698419619201806","4.6933085613688235","4.70439253628879","4.3992462158203125","4.364194869995117","4.4564104080200195"
"26","4.710638732909721","4.708118975668119","4.712859268053653","3.6367591381073","3.606691837310791","3.666682720184326","4.686501886596292","4.685508539946964","4.687956131974881","3.8371742248535154","3.7985622882843018","3.854671001434326","4.69502074626736","4.689563700947056","4.701493617614578","4.373019027709961","4.335458755493164","4.434847831726074"
"27","4.709771128067595","4.707169123814614","4.712095164844069","3.580993175506592","3.549931287765503","3.612387180328369","4.684887444938315","4.68384296016267","4.68640962405076","3.7799399375915526","3.740835428237915","3.7968714237213135","4.691510572533751","4.68578027083152","4.69849913422983","4.3453961372375485","4.304754257202148","4.412583351135254"
"28","4.708921760199376","4.706223040063513","4.7113434310197775","3.5239333152770995","3.4919533729553223","3.5568220615386963","4.683284656556438","4.6821974913554145","4.684876581287527","3.7209339141845703","3.681501865386963","3.7384626865386963","4.687898503484206","4.6819639003901115","4.695414540353874","4.316236209869385","4.271823406219482","4.3895487785339355"
"29","4.708090939925293","4.7052759689860535","4.710610934489263","3.4655548572540282","3.432746648788452","3.4999167919158936","4.681688331114421","4.680560602710718","4.683346796700757","3.6601185321807863","3.620431423187256","3.678229808807373","4.684201659472016","4.678120010208598","4.692241838678989","4.285340976715088","4.236608505249023","4.365426063537598"
"30","4.707279010114616","4.70432735704703","4.709902967047929","3.405868482589722","3.3722589015960693","3.441699266433716","4.680096391652043","4.6789233341484096","4.681810876163786","3.5974567890167237","3.5575358867645264","3.6160683631896973","4.680468651594104","4.674302986732827","4.6889833589513294","4.2525710105896","4.199399471282959","4.339856147766113"
"31","4.706486661782478","4.703380191330026","4.709222306213956","3.3449188232421876","3.3105432987213135","3.382204294204712","4.678510290979642","4.677282722334141","4.680264050900414","3.5329705715179442","3.4928109645843506","3.551978826522827","4.676777447496528","4.670620791145965","4.685647031417471","4.218105983734131","4.160891532897949","4.312808036804199"
"32","4.7057151625069","4.702440237042721","4.7085702393263675","3.282708930969238","3.2476491928100586","3.3214330673217773","4.676934454242042","4.675643163431009","4.678708896115537","3.4667086601257324","3.4263124465942383","3.4860892295837402","4.673211530353477","4.666890022240581","4.682246591765794","4.182424736022949","4.122175216674805","4.28418493270874"
"33","4.704966348190248","4.7015149081301235","4.707947604003341","3.2192519664764405","3.1836087703704834","3.2594172954559326","4.675374370519076","4.674015204605402","4.677154408065966","3.398672342300415","3.3580493927001953","3.4184749126434326","4.669837857511352","4.663147177513787","4.678795499194969","4.146022033691406","4.083712100982666","4.253612995147705"
"34","4.704242485046067","4.7006116304324825","4.707355133174474","3.1546100616455077","3.118516445159912","3.196216583251953","4.673834744439855","4.672411889222371","4.675611763479355","3.328832483291626","3.2879340648651123","3.3490986824035645","4.666683400227184","4.659638910657651","4.675311188549649","4.109217166900635","4.045344352722168","4.2209577560424805"
"35","4.70354620835591","4.699736370580086","4.706793391468588","3.0888000965118407","3.0523324012756348","3.131812810897827","4.672318940679668","4.670843619010972","4.6740906520613725","3.2571937084197997","3.2159042358398438","3.277935266494751","4.6637330702492905","4.656402072706941","4.671832185260859","4.0717168807983395","4.00606107711792","4.186361789703369"
"36","4.702879999060682","4.698892039146464","4.706262221477848","3.0218571186065675","2.9850707054138184","3.0662245750427246","4.670828274077192","4.6693128907515025","4.672595572931842","3.183811664581299","3.1420352458953857","3.2050020694732666","4.660959842099446","4.653448723156134","4.668436948501349","4.033166074752808","3.9654273986816406","4.150272369384766"
"37","4.702245015755487","4.698077558709128","4.7057599417220475","2.953831100463867","2.916846513748169","2.999516248703003","4.669361906485113","4.667813785971774","4.671124482692313","3.1087427616119383","3.066384792327881","3.130439281463623","4.658317527924538","4.650763898569495","4.665229147380264","3.99389967918396","3.92425537109375","4.113640785217285"
"38","4.701640451689544","4.697289068823408","4.705283656459658","2.8847947120666504","2.8477115631103516","2.931746006011963","4.667917959879941","4.666338506953737","4.669670512014582","3.031992959976196","2.988952159881592","3.0542688369750977","4.655721371987963","4.648244749331416","4.66259359518172","3.954412651062012","3.882955312728882","4.077577590942383"
"39","4.701064281774412","4.696522861632873","4.704831257479419","2.814811611175537","2.7776801586151123","2.862989902496338","4.666494601623507","4.664881890015175","4.66822667799583","2.953560543060303","2.9098403453826904","2.9763855934143066","4.653088785916775","4.645719140546856","4.660144517898359","3.914636993408203","3.840771198272705","4.0423431396484375"
"40","4.700515117244377","4.695778299581275","4.704404140029729","2.7439302444458007","2.7067980766296387","2.7932686805725098","4.66508951517404","4.663438180080426","4.666790848209152","2.873484992980957","2.8290631771087646","2.8968279361724854","4.650387176658021","4.643079318570917","4.65759124805392","3.8741096019744874","3.7971818447113037","4.006879806518555"
"41","4.699993914992281","4.695057789550532","4.7040084901754495","2.672261619567871","2.6352250576019287","2.7227163314819336","4.663697372996629","4.661998902414939","4.66536137636158","2.7918259143829345","2.746640682220459","2.8156707286834717","4.647623731933794","4.640324435133704","4.654934972825947","3.8324851989746094","3.7524795532226562","3.970045804977417"
"42","4.699503455605624","4.694364390061863","4.703651321849288","2.599885654449463","2.5630006790161133","2.6514570713043213","4.662311604844108","4.660557885145311","4.663939738143419","2.708670139312744","2.662614345550537","2.733078956604004","4.644803673330354","4.6374772954902905","4.6521648753837885","3.78971586227417","3.706979990005493","3.9316842555999756"
"43","4.699045472051162","4.693700743187552","4.7033333357245555","2.52685866355896","2.490121603012085","2.57952618598938","4.660928354112341","4.659117334417516","4.662536995583456","2.624081087112427","2.577094078063965","2.6491050720214844","4.6419225444809795","4.634545314099112","4.649289246261576","3.7459410667419433","3.6605594158172607","3.8923895359039307"
"44","4.698617799305043","4.693069013783063","4.7030475357791275","2.453247833251953","2.416680335998535","2.506943941116333","4.6595457987527285","4.657678309561348","4.6611585546057706","2.538105344772339","2.4901516437530518","2.5638375282287598","4.63898438718901","4.6315419289166995","4.6464784132482615","3.70135703086853","3.6131961345672607","3.852478265762329"
"45","4.698216817129977","4.692468900796667","4.702788244587361","2.3791590690612794","2.342834949493408","2.433837652206421","4.65816776344643","4.65623350077815","4.659815466239288","2.4508039951324463","2.401867628097534","2.477372884750366","4.636002972974234","4.6284828124028055","4.643710064976832","3.6560518741607666","3.565098524093628","3.8115932941436768"
"46","4.697841267056424","4.691895618744246","4.702558619999943","2.3047184467315676","2.268666982650757","2.3604352474212646","4.656793242306129","4.6547719923368716","4.658492128016151","2.3622575283050535","2.3122971057891846","2.389739513397217","4.632997005636259","4.625385263772836","4.640896507118806","3.609938859939575","3.5164430141448975","3.769577980041504"
"47","4.697493575857857","4.691343067042747","4.702360924595937","2.2300537109375","2.194244861602783","2.287102699279785","4.655421137878999","4.653283717493042","4.657192288068283","2.272593545913696","2.2215445041656494","2.300917148590088","4.629983733722328","4.622281826835758","4.6380656013902986","3.562869119644165","3.46681809425354","3.7267963886260986"
"48","4.697174159970859","4.69080800835675","4.702191138696079","2.155033016204834","2.1196951866149902","2.212831974029541","4.654038176585873","4.651764795750696","4.655894135770191","2.1818708419799804","2.12967586517334","2.2111399173736572","4.626973378845292","4.619203899728256","4.63519473192986","3.514862537384033","3.4160406589508057","3.683497190475464"
"49","4.696879780922935","4.690292373624037","4.702034968474385","2.0797780990600585","2.0450193881988525","2.137986421585083","4.652637190760576","4.650216877047608","4.654597258592485","2.0904238700866697","2.0369668006896973","2.120521068572998","4.62396753259655","4.616156860938157","4.632273219761866","3.4660011291503907","3.3643343448638916","3.639395236968994"
"50","4.696606473485013","4.689801170539636","4.701875908505362","2.004685950279236","1.9703234434127808","2.064134359359741","4.651213980364786","4.64866632480559","4.65330040928393","1.9979102611541748","1.9435828924179077","2.0281853675842285","4.6209644513394545","4.613121661646058","4.629343870568824","3.416215181350708","3.3117449283599854","3.5941877365112305"
