"Step","Grouped runs - train/spec_loss","Grouped runs - train/spec_loss__MIN","Grouped runs - train/spec_loss__MAX","Grouped runs - train/loss","Grouped runs - train/loss__MIN","Grouped runs - train/loss__MAX"
"1","4.733979656985768","4.731531123036834","4.735690659056549","4.74176254272461","4.738137245178223","4.745119094848633"
"2","4.728348793723351","4.726480113424701","4.729465998279972","4.733774662017822","4.731469631195068","4.735577583312988"
"3","4.723938252249836","4.722409247969893","4.725036656225054","4.728042793273926","4.726412773132324","4.7291131019592285"
"4","4.720257689537811","4.718936943663161","4.721420631828415","4.723614311218261","4.722319602966309","4.724656581878662"
"5","4.716967139624637","4.7157727573166905","4.71825542759731","4.719937896728515","4.718811988830566","4.7210612297058105"
"6","4.713843819950433","4.71271925575184","4.7152790034178595","4.716649723052979","4.7156081199646","4.717926979064941"
"7","4.710768573413203","4.709684385107073","4.71235010075405","4.713502979278564","4.712500095367432","4.714945316314697"
"8","4.707698312181584","4.706642499147927","4.709438242673846","4.710356521606445","4.709356784820557","4.711942195892334"
"9","4.704620358426808","4.703579610058846","4.7065622860329945","4.707161998748779","4.706116199493408","4.708888530731201"
"10","4.7015120896402065","4.700464939938608","4.703724789651844","4.7039158821105955","4.702756881713867","4.705827713012695"
"11","4.698326953464683","4.697190018611783","4.700882399891075","4.700607872009277","4.699288368225098","4.702785015106201"
"12","4.695004942875819","4.693740812992949","4.697959323571711","4.697197532653808","4.695694446563721","4.6997246742248535"
"13","4.6914889710534196","4.690085777722686","4.694881414086034","4.693621253967285","4.691921710968018","4.696563243865967"
"14","4.687732801603373","4.686160629701519","4.691597933905477","4.689812564849854","4.687895774841309","4.693212985992432"
"15","4.683698249242765","4.681905021884406","4.688079565978073","4.685711669921875","4.683535575866699","4.689610958099365"
"16","4.679346910348653","4.6772642094080155","4.684302432006553","4.6812639236450195","4.678758144378662","4.685716152191162"
"17","4.674634890003715","4.67219192675645","4.680233844470543","4.676410102844239","4.673480987548828","4.681492328643799"
"18","4.669515682055581","4.666652887990547","4.675831906430662","4.671081256866455","4.667628288269043","4.6768903732299805"
"19","4.663948170142359","4.660622971632302","4.6710560488293185","4.665203285217285","4.661135673522949","4.671848297119141"
"20","4.65790158430001","4.654090740079859","4.6658716176876105","4.658705615997315","4.653954029083252","4.6663007736206055"
"21","4.651354539707519","4.647061366881641","4.660244061717465","4.651531314849853","4.646058559417725","4.660187721252441"
"22","4.6442934442105654","4.63955740169791","4.654135553664153","4.643637084960938","4.637458324432373","4.653443336486816"
"23","4.636715255341871","4.631616670697166","4.647511731189658","4.634998893737793","4.628206729888916","4.64599609375"
"24","4.628630938077498","4.623222078442106","4.640352005168741","4.625622081756592","4.618403434753418","4.63778018951416"
"25","4.620064000452678","4.614123899331923","4.63264906328583","4.615549755096436","4.608188629150391","4.62875509262085"
"26","4.611048780638838","4.604596515348399","4.624401683246706","4.60485954284668","4.597020149230957","4.618916034698486"
"27","4.601630505726483","4.594717432575842","4.615620616997977","4.593644809722901","4.585329532623291","4.608290672302246"
"28","4.591864546575678","4.584566194422233","4.606341449363057","4.581999397277832","4.573430061340332","4.5969438552856445"
"29","4.581817653512017","4.574232461994316","4.596621720631495","4.570014095306396","4.561433792114258","4.5849995613098145"
"30","4.5715637341728845","4.563815709208324","4.586526108824159","4.557793712615966","4.549398899078369","4.572641372680664"
"31","4.561182900457358","4.553416483768917","4.576120705789757","4.545443439483643","4.537334442138672","4.560078144073486"
"32","4.550768044833432","4.543130798910338","4.565487332501355","4.533038997650147","4.52495002746582","4.547515392303467"
"33","4.540420757313121","4.53284603054411","4.554743198582083","4.520618534088134","4.512322902679443","4.535121440887451"
"34","4.530242302399159","4.522708702417133","4.544027527045502","4.508192253112793","4.499577522277832","4.522974967956543"
"35","4.520316935638343","4.512895170502407","4.533451893868264","4.495761680603027","4.486807346343994","4.511031627655029"
"36","4.510700255280925","4.503443878404464","4.523082493347437","4.483316135406494","4.47408390045166","4.4991302490234375"
"37","4.501431358030997","4.494375436825929","4.513001039464689","4.470825672149658","4.4613471031188965","4.4870285987854"
"38","4.492540988577006","4.485716742428586","4.503305688152608","4.458250236511231","4.448240756988525","4.4745259284973145"
"39","4.484033349136055","4.477479385735376","4.494042852093312","4.445565319061279","4.435204029083252","4.461572647094727"
"40","4.475874539945179","4.46959944872463","4.485188591142217","4.432767486572265","4.422239780426025","4.44827938079834"
"41","4.4680120052701575","4.461979737014471","4.4766963419884105","4.419880771636963","4.409292221069336","4.434845447540283"
"42","4.460394029833661","4.454563189792154","4.468520649188934","4.406942081451416","4.396274089813232","4.421442031860352"
"43","4.45296945096054","4.447324256604922","4.460600098367427","4.393995475769043","4.383136749267578","4.408162593841553"
"44","4.445686515048887","4.440237402004768","4.452857637177286","4.381081867218017","4.3698954582214355","4.39501428604126"
"45","4.438500040565343","4.433289126597453","4.4452277448914925","4.368227005004883","4.3565802574157715","4.381964683532715"
"46","4.431372745099867","4.426484566934539","4.437678139856629","4.355436515808106","4.3432135581970215","4.368974685668945"
"47","4.424275267527466","4.419494105387513","4.430202053429005","4.342701435089111","4.329787731170654","4.35601806640625"
