"Step","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX"
"1","0.10343901515007019","0.08608391880989075","0.11904088407754898","0.09686157405376435","0.08107990026473999","0.11177095770835876","0.07407569438219071","0.06440940499305725","0.08780673891305923","0.05276234820485115","0.04806254431605339","0.0669572502374649","0.08756123036146164","0.07319612801074982","0.10241067409515381"
"200","57.193721771240234","47.47776794433594","71.2879638671875","77.20756683349609","63.7901611328125","97.70439910888672","186.60434265136718","147.57850646972656","250.8551483154297","404.1488830566406","320.4390869140625","547.1951904296875","112.6163101196289","92.07876586914062","147.71646118164062"
"400","47.36040115356445","40.96438217163086","59.69744873046875","64.68687591552734","54.8404426574707","82.44482421875","159.70032348632813","129.06655883789062","214.6375732421875","355.4820495605469","280.89276123046875","484.2934875488281","95.76429901123046","80.63117980957031","125.22318267822266"
"600","45.84802780151367","40.16168212890625","59.91420364379883","63.686316680908206","53.87300491333008","83.8541488647461","161.5341003417969","129.49417114257812","222.15533447265625","370.97523803710936","287.7789001464844","507.7847900390625","96.1670135498047","80.6795883178711","127.78575897216797"
"800","47.54779815673828","40.89647674560547","64.54171752929688","66.6586685180664","56.399391174316406","91.31440734863281","173.49002685546876","136.99095153808594","247.2850799560547","409.60789794921874","311.8495788574219","563.5252685546875","102.3743896484375","84.65669250488281","139.7447509765625"
"1000","51.24754791259765","42.20490264892578","71.36735534667969","72.19009780883789","61.149559020996094","101.77496337890625","192.62710571289062","150.01602172851562","285.3914489746094","463.23607177734374","350.7770690917969","637.5367431640625","112.14901885986328","91.4747085571289","157.10865783691406"
"1200","56.5573844909668","44.08584976196289","79.90318298339844","79.63791046142578","64.14461517333984","113.52852630615234","217.07083435058593","166.8347625732422","333.8352966308594","528.5579345703125","399.3984680175781","728.2005615234375","124.57097930908203","101.48890686035156","177.45997619628906"
"1400","63.462975311279294","46.50404739379883","89.98306274414062","88.85155181884765","66.5888900756836","126.73553466796875","246.24048461914063","188.08348083496094","391.1359558105469","601.6732604980468","452.7658996582031","831.0744018554688","139.6237548828125","115.21973419189453","200.59031677246094"
"1600","72.45137939453124","50.06257629394531","101.56551361083984","99.96085205078126","69.07270812988281","141.8082733154297","279.8970977783203","214.135498046875","456.13714599609375","680.6684265136719","510.8544616699219","943.9832763671875","157.2342544555664","122.5590591430664","226.94552612304688"
"1800","84.41965408325196","55.01742935180664","114.9303970336914","113.3591522216797","71.51599884033203","159.18792724609375","317.9380126953125","237.9356689453125","527.4376831054688","765.8567016601562","576.8182373046875","1068.87158203125","177.16040954589843","128.71153259277344","255.3894805908203"
"2000","99.97790145874023","59.33120346069336","129.3668670654297","130.05489654541014","73.77056884765625","178.53692626953125","359.9614288330078","255.67430114746094","603.3668823242188","856.3084350585938","651.4041137695312","1205.558837890625","199.18062744140624","135.6671142578125","285.1622619628906"
"2200","117.70196914672852","62.35398483276367","159.82345581054688","152.0321060180664","79.97306060791016","199.90846252441406","405.55390014648435","275.4558410644531","681.9652709960938","951.764892578125","741.3236083984375","1350.0203857421875","223.70425109863282","142.4857177734375","316.7709045410156"
"2400","134.92506103515626","66.17542266845703","186.9521942138672","177.83766021728516","88.1098861694336","238.34341430664062","454.8874084472656","301.7942810058594","762.0245361328125","1053.3479248046874","819.9228515625","1503.6756591796875","253.031298828125","150.3142852783203","350.5885009765625"
"2600","151.79153747558593","71.86744689941406","203.64129638671875","203.08706665039062","96.66593933105469","273.85382080078125","508.4591125488281","336.7674255371094","844.6056518554688","1160.1189086914062","880.8616943359375","1663.996826171875","288.54445190429686","160.37484741210938","386.69378662109375"
"2800","170.93301239013672","78.09432220458984","222.53890991210938","228.2303955078125","105.09130859375","302.1385498046875","567.730078125","388.052978515625","928.0462036132812","1272.6625366210938","942.7678833007812","1838.5078125","324.47276916503904","170.78538513183594","425.5493469238281"
"3000","190.12844543457032","83.42726135253906","240.47633361816406","253.4039566040039","112.47760772705078","333.3794860839844","632.9353454589843","461.78875732421875","1012.310791015625","1389.876806640625","1009.9259033203125","2027.780029296875","353.23528442382815","181.23367309570312","466.968994140625"
"3200","215.8197021484375","84.13160705566406","257.4811096191406","295.10859375","113.81961059570312","411.4459228515625","786.0675903320313","553.0265502929688","1278.8785400390625","1657.105126953125","1253.4798583984375","2446.52197265625","423.67848815917966","182.9084930419922","665.9693603515625"
"3400","23147.762109375","11918.576171875","33041.27734375","33327.98671875","15950.83984375","41663.76953125","113863.0078125","84574.109375","168888.640625","73562.47265625","1284.833251953125","262245.21875","51944.203515625","25547.029296875","107314.34375"
"3600","5124.92685546875","4423.615234375","5756.8984375","6705.5751953125","5576.21142578125","8911.7646484375","13608.3966796875","11145.224609375","19394.041015625","7622.468798828125","1448.139404296875","23088.609375","9466.86337890625","5105.4111328125","18307.822265625"
"3800","3650.774072265625","2995.757080078125","4110.39892578125","4515.672314453125","3761.533447265625","5320.6083984375","9054.97822265625","7323.26123046875","11319.3154296875","7098.16435546875","2767.85205078125","17768.662109375","6407.605078125","4935.70947265625","10188.22265625"
"4000","3646.265283203125","2258.240478515625","5346.216796875","4251.0712890625","3315.0390625","6234.0107421875","8220.58369140625","6790.7646484375","11237.208984375","7948.467138671875","3916.112548828125","16458.2734375","5982.16689453125","4614.5419921875","8052.88330078125"
"4200","4307.967309570313","2039.8563232421875","7279.10205078125","4794.218798828125","2959.054443359375","8527.294921875","8120.22548828125","6499.15869140625","11434.72265625","8920.775390625","4709.0732421875","14632.923828125","6545.085546875","4819.76171875","8260.0615234375"
"4400","5247.836962890625","2070.48876953125","9486.3291015625","5687.265673828125","2924.506103515625","11014.57421875","8708.84443359375","6247.60302734375","12312.15234375","10174.2716796875","5587.99853515625","14356.765625","7676.74013671875","5573.72998046875","9585.87890625"
"4600","6276.52021484375","2234.123046875","11850.654296875","6680.53623046875","3063.37890625","13639.5029296875","9770.58310546875","6206.46337890625","13867.443359375","11576.258984375","6490.67919921875","18679.25","9137.496875","6766.78955078125","11440.5517578125"
"4800","7299.5466796875","2470.57958984375","14251.7548828125","7686.4638671875","3303.8330078125","16431.248046875","11118.147265625","6594.15234375","16505.130859375","12948.65224609375","7463.82861328125","22793.0078125","10690.6892578125","8047.15234375","13423.1923828125"
"5000","8297.3578125","2728.1474609375","16835.380859375","8689.041015625","3604.408203125","19376.943359375","12600.54228515625","7122.06103515625","19792.00390625","14155.3453125","8567.9111328125","26437.314453125","12213.8431640625","9105.3876953125","15300.603515625"
"5200","9211.007275390624","2975.537841796875","19312.720703125","9674.1146484375","3945.60205078125","22334.984375","14130.52880859375","7542.7890625","23410.45703125","15156.6541015625","9831.0341796875","29279.06640625","13679.9654296875","10069.958984375","17113.318359375"
"5400","9908.2654296875","3214.39208984375","20894.59765625","10644.91669921875","4319.49755859375","25260.9140625","15650.8892578125","7694.625","27212.1171875","16063.4828125","10204.068359375","31325.69140625","15078.6408203125","10943.615234375","18929.9921875"
"5600","10588.848583984374","3461.408935546875","22510.33984375","11612.61904296875","4725.81640625","28134.345703125","17100.47646484375","7769.1689453125","30999.3515625","17163.173046875","10627.33984375","32996.03515625","16491.3650390625","11427.4404296875","20762.654296875"
"5800","11110.6181640625","3712.275390625","23901.8828125","12533.94853515625","5166.1474609375","30898.755859375","18524.78056640625","7799.6337890625","34977.68359375","18570.1564453125","10880.1318359375","34435.01953125","17909.5396484375","12012.921875","22353.58203125"
"6000","11139.452734375","3950.0576171875","23749.580078125","13047.43623046875","5614.935546875","32933.125","19966.9173828125","7658.759765625","39127.3359375","20456.4353515625","11121.9111328125","36925.42578125","19093.9625","12567.251953125","23259.009765625"
"6200","18161.646484375","4422.95263671875","32304.51953125","15009.6421875","6043.66259765625","32849.40234375","21382.66650390625","7722.861328125","41590.3984375","18723.6279296875","7837.0732421875","45242.55078125","19915.460546875","12962.068359375","24919.89453125"
"6400","24078.21201171875","7101.58935546875","45248.63671875","42275.540625","17961.1171875","72889.1640625","48809.425390625","11109.7998046875","132360.796875","55420.822265625","3645.1494140625","234554.765625","88821.628515625","32421.111328125","138413.9375"
"6600","5743.7275390625","3219.86181640625","9941.8505859375","10409.7794921875","5581.2177734375","12613.1904296875","47683.84375","20507.7578125","61100.43359375","116801.28046875","4128.70556640625","274930.5625","12573.4162109375","4849.4619140625","18892.76171875"
"6800","3257.201416015625","2171.0546875","4672.046875","4746.70615234375","3459.13818359375","5849.41943359375","11283.18779296875","6956.79931640625","14989.8310546875","22794.97666015625","4742.13818359375","34677.95703125","6257.254443359375","3911.887451171875","7934.75927734375"
"7000","3069.317626953125","1746.8995361328125","5498.37451171875","4030.160009765625","3059.744140625","5536.2314453125","7789.316796875","4868.00390625","10310.3876953125","17933.9431640625","5889.6181640625","24852.75390625","5383.46484375","4787.86474609375","6117.76513671875"
"7200","3177.2751953125","1521.8525390625","6187.53271484375","4078.84150390625","2607.63232421875","6037.11083984375","6661.855908203125","3947.612548828125","9166.0166015625","18979.89716796875","7696.75830078125","36169.47265625","5247.85458984375","4174.99267578125","6296.87158203125"
"7400","3424.3214599609373","1467.8975830078125","6836.6142578125","4459.5345703125","2478.481201171875","6708.1435546875","6474.477587890625","3443.701904296875","9563.953125","21795.3017578125","9660.0029296875","49085.2890625","5495.600390625","4010.1015625","7189.27197265625"
"7600","3786.350439453125","1501.554931640625","7563.55224609375","5016.175341796875","2570.660888671875","8152.00390625","6933.206689453125","3217.941650390625","10809.34765625","25657.6521484375","11179.1513671875","63403.5625","6033.203466796875","4077.218017578125","8262.4951171875"
"7800","4266.45654296875","1597.249267578125","8400.3779296875","5679.80419921875","2781.46484375","9935.380859375","7883.423583984375","3173.606201171875","12690.08203125","30057.59296875","12150.0107421875","78442.0625","6794.42626953125","4226.53466796875","9430.4775390625"
"8000","4868.8089599609375","1738.0867919921875","9352.3779296875","6401.611962890625","3063.748291015625","11865","9170.96123046875","3227.13037109375","15014.80078125","34712.405078125","12340.193359375","93375.1640625","7719.5751953125","4430.384765625","10583.0966796875"
"8200","5575.069750976562","1912.6866455078125","10361.5107421875","7178.574951171875","3398.86279296875","13919.25390625","10690.617138671874","3346.486572265625","17608.349609375","39487.8923828125","12555.98046875","107728.59375","8782.92275390625","4684.63818359375","12386.6044921875"
"8400","6368.23017578125","2115.125","11425.974609375","8008.5869140625","3755.68603515625","16067.53515625","12374.03818359375","3458.19140625","20288.37109375","44440.80234375","12820.626953125","121843.578125","9989.01865234375","5016.53173828125","15624.619140625"
"8600","7220.940283203125","2344.16015625","12554.0771484375","8883.45712890625","4112.91259765625","18291.0234375","14205.639697265626","3566.011962890625","23124.541015625","49591.8255859375","13108.64453125","135742.265625","11334.58720703125","5442.6884765625","19402.927734375"
"8800","8076.59072265625","2597.135009765625","14590.9912109375","9787.36591796875","4451.71630859375","20531.310546875","16124.19638671875","3678.66943359375","26541.517578125","54580.130859375","13459.001953125","148275.421875","12789.79189453125","5966.21826171875","23606.1796875"
"9000","9178.307421875","2891.39794921875","16401.794921875","10655.29599609375","4762.91357421875","22490.705078125","18061.257421875","3800.654296875","30171.53515625","59454.9244140625","13871.9423828125","160216.65625","14267.61796875","6583.54296875","27841.001953125"
