"Step","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"1","0.0349441435188055","0.020608318969607353","0.054637521505355835","0.05852080285549164","0.04736319184303284","0.07376708090305328","0.05156605914235115","0.04020480811595917","0.06880687177181244","0.04475302174687386","0.03181338682770729","0.06315002590417862","0.022729647252708672","0.005719379056245089","0.04357554018497467"
"200","431.13799438476565","363.861572265625","531.9744873046875","157.71981201171874","137.8207550048828","197.038330078125","197.2545379638672","168.45938110351562","240.62908935546875","266.7366058349609","226.98178100585938","324.5499572753906","833.9122192382813","674.923095703125","1085.2349853515625"
"400","436.865771484375","323.328369140625","623.7932739257812","148.6817428588867","111.16913604736328","219.57305908203125","192.75830078125","139.34901428222656","288.5634765625","267.38482666015625","197.93507385253906","381.69720458984375","996.175341796875","730.4655151367188","1435.03955078125"
"600","469.70946044921874","336.11309814453125","688.8491821289062","163.25580902099608","117.8113784790039","245.3768768310547","210.2309600830078","151.1094970703125","320.4292297363281","298.6687805175781","214.46566772460938","441.8830261230469","1087.861572265625","796.12890625","1523.9053955078125"
"800","559.0014221191407","391.82232666015625","853.6670532226562","191.6733428955078","139.9708251953125","285.9215087890625","245.58048095703126","181.1893310546875","371.57244873046875","357.3165252685547","254.3332977294922","540.5036010742188","1335.6703735351562","944.5274047851562","1882.8726806640625"
"1000","667.339990234375","471.108154296875","1045.6968994140625","222.04320068359374","169.8701629638672","323.1872253417969","284.8634826660156","221.73544311523438","419.0248718261719","419.4565002441406","304.1355895996094","635.3953857421875","1498.3397705078125","1068.0726318359375","2431.052490234375"
"1200","737.6040283203125","536.8319702148438","1171.8834228515625","239.86615600585938","193.89430236816406","339.5700378417969","307.1967376708984","233.7952117919922","436.85003662109375","454.70130615234376","341.32012939453125","685.9952392578125","1846.071533203125","1264.51318359375","2888.433837890625"
"1400","689.5974731445312","520.44384765625","1092.4097900390625","223.04918823242187","179.70529174804688","306.9248352050781","284.2473205566406","214.64605712890625","389.9892272949219","421.3091064453125","317.2027893066406","627.5559692382812","1973.3226318359375","1233.4649658203125","2918.546142578125"
"1600","570.4036987304687","414.8860168457031","858.2836303710938","185.66554260253906","147.3018798828125","243.68356323242188","236.68478698730468","180.84564208984375","307.0803527832031","348.824560546875","263.2051086425781","495.1407165527344","1852.9728271484375","962.270263671875","3503.92138671875"
"1800","479.68759765625","334.88861083984375","669.4326171875","157.57386932373046","118.03164672851562","200.67770385742188","201.8935089111328","155.9817657470703","247.5092010498047","294.77577819824216","222.8411407470703","392.6726989746094","1613.5702758789062","759.0052490234375","3384.7734375"
"2000","423.61387939453124","283.8162536621094","551.451904296875","141.0940734863281","96.22905731201172","193.67462158203125","181.38455810546876","130.25563049316406","234.7515869140625","262.13539428710936","193.29954528808594","332.2987976074219","1320.2504150390625","632.9209594726562","2612.073486328125"
"2200","389.13927307128904","250.7342071533203","477.53741455078125","132.04684753417968","82.48120880126953","192.86036682128906","169.75933990478515","113.22154998779297","230.3453826904297","242.87793884277343","167.90481567382812","320.1641845703125","1085.247509765625","552.5613403320312","1870.263671875"
"2400","368.06736450195314","228.6771240234375","457.6421203613281","127.62592468261718","73.49810028076172","196.29299926757812","163.6141845703125","101.64751434326172","231.0028839111328","231.9006317138672","150.75572204589844","314.832763671875","933.0676940917969","499.9807434082031","1381.941162109375"
"2600","355.50458984375","213.52957153320312","453.01251220703125","126.12684173583985","67.35672760009766","202.6342315673828","160.92233276367188","93.5362319946289","234.83670043945312","226.1761260986328","138.72886657714844","313.8108825683594","836.5050598144531","464.6322326660156","1070.2568359375"
"2800","348.5022766113281","202.76910400390625","452.9193115234375","126.5072639465332","62.97842788696289","210.86944580078125","160.40328826904297","87.6362533569336","240.60037231445312","223.83405151367188","129.9111785888672","315.54510498046875","775.0874084472656","440.5560607910156","905.232177734375"
"3000","345.20013122558595","194.75094604492188","462.11309814453125","128.07459182739257","59.7712516784668","220.093994140625","161.29413757324218","83.15060424804688","247.5570526123047","223.7112609863281","123.12913513183594","319.1064147949219","736.0149719238282","423.9170227050781","914.4656982421875"
"3200","344.4135986328125","188.519287109375","475.1947021484375","130.25859375","57.411354064941406","229.11941528320312","163.21498413085936","79.6243896484375","255.52560424804688","225.0909652709961","117.6830825805664","323.9958801269531","711.5136413574219","412.3787536621094","926.8622436523438"
"3400","345.4821044921875","183.58570861816406","489.4269104003906","132.47519302368164","55.64360427856445","236.17332458496094","165.98570404052734","76.84014129638672","264.5771484375","227.52221069335937","113.14839172363281","329.8565979003906","696.3274719238282","404.7707824707031","940.423095703125"
"3600","347.9951568603516","179.65377807617188","504.7530517578125","134.12998886108397","54.3474006652832","239.1961212158203","169.44058227539062","74.62105560302734","274.63409423828125","230.73089294433595","109.31158447265625","336.4594421386719","687.2093688964844","399.9613342285156","954.8509521484375"
"3800","351.65318908691404","176.41062927246094","521.0919189453125","134.3781593322754","53.44209671020508","234.50924682617188","173.37293395996093","72.75259399414062","285.37603759765625","234.48784790039062","105.92866516113281","343.63037109375","682.1862670898438","396.9512939453125","970.2294311523438"
"4000","356.15163269042966","173.64501953125","538.242919921875","131.29160842895507","53.03642654418945","212.5843048095703","177.38851776123047","71.23662567138672","295.1256103515625","238.64862518310548","102.76871490478516","351.4260559082031","680.1207458496094","395.6376647949219","986.0460205078125"
"4200","361.3527801513672","171.22531127929688","556.5057983398438","126.44690856933593","53.37254333496094","181.087646484375","180.64024200439454","70.20684051513672","299.92913818359375","243.18411865234376","99.65876770019531","360.1872863769531","680.0768615722657","395.8783264160156","1002.0494384765625"
"4400","367.13475646972654","169.06922912597656","576.2476196289062","122.63763580322265","54.55675506591797","177.2371063232422","182.02689361572266","69.35576629638672","294.75042724609375","248.22279205322266","96.6191635131836","370.6502990722656","681.4643859863281","397.40252685546875","1018.2886962890625"
"4600","373.3616577148438","167.08580017089844","597.0186157226562","120.7320541381836","56.79148864746094","181.18756103515625","180.21057586669923","67.54436492919922","273.7623596191406","254.04649658203124","93.86592102050781","383.948974609375","683.5096618652344","399.9678039550781","1033.5594482421875"
