"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"1","4.739367294311523","4.736886501312256","4.741406440734863","4.7485674858093265","4.7422075271606445","4.75553560256958","4.744828987121582","4.739908695220947","4.749827861785889","4.74176254272461","4.738137245178223","4.745119094848633","4.7376421928405765","4.736150741577148","4.73868465423584"
"2","4.733611965179444","4.731953144073486","4.73477840423584","4.735248947143555","4.731493949890137","4.738685607910156","4.734330844879151","4.731324672698975","4.736896514892578","4.733774662017822","4.731469631195068","4.735577583312988","4.73389949798584","4.732846260070801","4.734696865081787"
"3","4.729119968414307","4.727892875671387","4.730030059814453","4.7270406723022464","4.724634647369385","4.728775501251221","4.727367305755616","4.725343227386475","4.728724002838135","4.728042793273926","4.726412773132324","4.7291131019592285","4.7307134628295895","4.729909420013428","4.7314019203186035"
"4","4.725399780273437","4.724398612976074","4.726260185241699","4.721414947509766","4.719640254974365","4.722692966461182","4.722313785552979","4.720761299133301","4.7234930992126465","4.723614311218261","4.722319602966309","4.724656581878662","4.727859210968018","4.727194786071777","4.728479862213135"
"5","4.722181987762451","4.721312522888184","4.723081588745117","4.716923522949219","4.7153472900390625","4.718393325805664","4.718221759796142","4.716860771179199","4.719526767730713","4.719937896728515","4.718811988830566","4.7210612297058105","4.725223350524902","4.72462272644043","4.725828170776367"
"6","4.7192967414855955","4.718516826629639","4.7203145027160645","4.71278076171875","4.711188316345215","4.71444845199585","4.714512825012207","4.71319580078125","4.715994358062744","4.716649723052979","4.7156081199646","4.717926979064941","4.722761821746826","4.7221574783325195","4.723416805267334"
"7","4.716609001159668","4.7158122062683105","4.717792987823486","4.708660221099853","4.707023620605469","4.710440635681152","4.71087760925293","4.709558486938477","4.712505340576172","4.713502979278564","4.712500095367432","4.714945316314697","4.720465278625488","4.71988582611084","4.721240997314453"
"8","4.71400032043457","4.713207244873047","4.715354919433594","4.7044977188110355","4.702867031097412","4.706360340118408","4.707204914093017","4.705899238586426","4.708948612213135","4.710356521606445","4.709356784820557","4.711942195892334","4.718322277069092","4.717780113220215","4.71927547454834"
"9","4.711384582519531","4.710578918457031","4.712889194488525","4.700305366516114","4.698695182800293","4.702322483062744","4.703486061096191","4.702205181121826","4.705380916595459","4.707161998748779","4.706116199493408","4.708888530731201","4.7162878036499025","4.715622425079346","4.717432498931885"
"10","4.708722496032715","4.707864761352539","4.7103681564331055","4.696068191528321","4.694389343261719","4.698363304138184","4.699721145629883","4.698270320892334","4.7018585205078125","4.7039158821105955","4.702756881713867","4.705827713012695","4.714287281036377","4.713507652282715","4.715590476989746"
