"Step","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"1","0.03555755279958248","0.00952940620481968","0.07110080122947693","0.03169029392302036","0.02627827227115631","0.03857533633708954","0.03807571828365326","0.031180409714579582","0.04916022717952728","0.04475302174687386","0.03181338682770729","0.06315002590417862","0.1279650166630745","0.020339563488960266","0.23018190264701843"
"200","380.50302734375","290.46197509765625","551.4390258789062","48.380941009521486","36.68630599975586","61.49889373779297","81.78817596435547","69.1858901977539","96.05665588378906","266.7366058349609","226.98178100585938","324.5499572753906","1121.54755859375","947.366943359375","1503.390380859375"
"400","411.219140625","304.0098571777344","606.7194213867188","196.42059326171875","164.98126220703125","225.13966369628906","242.7229431152344","185.20497131347656","338.5159606933594","267.38482666015625","197.93507385253906","381.69720458984375","2479.636376953125","2063.4833984375","3048.190185546875"
"600","553.8066223144531","400.7539978027344","820.2323608398438","247.5326416015625","203.976806640625","350.7090148925781","251.18287353515626","188.19764709472656","371.4917297363281","298.6687805175781","214.46566772460938","441.8830261230469","3144.6447265625","2473.0244140625","3685.650634765625"
"800","698.6762329101563","507.0218505859375","1018.68408203125","267.8433349609375","226.53338623046875","375.0427551269531","281.2485076904297","209.46322631835938","429.5486145019531","357.3165252685547","254.3332977294922","540.5036010742188","3008.174365234375","2208.283447265625","3623.773193359375"
"1000","783.845166015625","590.6173706054688","1118.9725341796875","299.32712707519534","236.51963806152344","424.3217468261719","325.03232727050784","240.15953063964844","517.25390625","419.4565002441406","304.1355895996094","635.3953857421875","2071.017138671875","1315.137939453125","3114.284423828125"
"1200","731.5438110351563","554.740478515625","1020.0277099609375","340.3065673828125","254.74850463867188","503.5113525390625","369.3668151855469","267.8939208984375","610.8297119140625","454.70130615234376","341.32012939453125","685.9952392578125","1627.3526977539063","874.9353637695312","2321.68798828125"
"1400","534.040478515625","391.85626220703125","708.2101440429688","376.5365844726563","273.786376953125","588.2333374023438","387.7713195800781","268.1749572753906","666.742919921875","421.3091064453125","317.2027893066406","627.5559692382812","1664.9064575195312","340.73919677734375","3927.683837890625"
"1600","383.2937744140625","264.93377685546875","489.2412109375","386.4904296875","263.58697509765625","640.2276611328125","361.20265502929686","245.32015991210938","627.029052734375","348.824560546875","263.2051086425781","495.1407165527344","1918.7746948242188","185.64739990234375","5198.390625"
"1800","322.2737121582031","208.0437774658203","430.6504211425781","364.1660522460937","238.7784423828125","614.5327758789062","315.94829711914065","218.86260986328125","524.4422607421875","294.77577819824216","222.8411407470703","392.6726989746094","1309.465185546875","149.31195068359375","2502.697021484375"
