"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"1","4.739367294311523","4.736886501312256","4.741406440734863","4.7485674858093265","4.7422075271606445","4.75553560256958","4.744828987121582","4.739908695220947","4.749827861785889","4.74176254272461","4.738137245178223","4.745119094848633","4.7376421928405765","4.736150741577148","4.73868465423584"
"2","4.730153656005859","4.728835105895996","4.731090545654297","4.7418131828308105","4.736810684204102","4.746934413909912","4.7375898361206055","4.734029769897461","4.7408599853515625","4.733774662017822","4.731469631195068","4.735577583312988","4.726292324066162","4.725529670715332","4.726930141448975"
"3","4.723957633972168","4.722975730895996","4.724825859069824","4.736365890502929","4.732392311096191","4.740108013153076","4.732045841217041","4.729389667510986","4.734180450439453","4.728042793273926","4.726412773132324","4.7291131019592285","4.7184826850891115","4.717854022979736","4.719460487365723"
"4","4.719035053253174","4.7181854248046875","4.720074653625488","4.731931972503662","4.728734016418457","4.734663009643555","4.727678394317627","4.725611686706543","4.729094982147217","4.723614311218261","4.722319602966309","4.724656581878662","4.71132755279541","4.710514068603516","4.712912082672119"
"5","4.714607524871826","4.713747978210449","4.715945720672607","4.7282685279846195","4.725648880004883","4.730278491973877","4.724112701416016","4.722419261932373","4.725281715393066","4.719937896728515","4.718811988830566","4.7210612297058105","4.70376033782959","4.702607154846191","4.7059245109558105"
"6","4.710186576843261","4.7093000411987305","4.711789131164551","4.725176811218262","4.722979545593262","4.726696014404297","4.721076011657715","4.71960973739624","4.722285747528076","4.716649723052979","4.7156081199646","4.717926979064941","4.6951018333435055","4.693120956420898","4.698700428009033"
"7","4.705620670318604","4.704585552215576","4.707481384277344","4.722496700286865","4.720597267150879","4.723770618438721","4.718364810943603","4.717027187347412","4.719662189483643","4.713502979278564","4.712500095367432","4.714945316314697","4.683594799041748","4.680103778839111","4.68932580947876"
"8","4.700898361206055","4.6996259689331055","4.703170299530029","4.720101261138916","4.718400955200195","4.721436023712158","4.715831661224366","4.714557647705078","4.717238903045654","4.710356521606445","4.709356784820557","4.711942195892334","4.667741870880127","4.6619439125061035","4.676493167877197"
"9","4.695866584777832","4.694277763366699","4.698779106140137","4.717892837524414","4.716315269470215","4.719309329986572","4.7133763313293455","4.712130069732666","4.7148895263671875","4.707161998748779","4.706116199493408","4.708888530731201","4.646408271789551","4.638565540313721","4.659083366394043"
"10","4.690261173248291","4.688256740570068","4.693981647491455","4.715798091888428","4.714287757873535","4.7173027992248535","4.7109400749206545","4.709709644317627","4.71254301071167","4.7039158821105955","4.702756881713867","4.705827713012695","4.620278167724609","4.609260559082031","4.6358795166015625"
