"Step","mlp-pre-ra-eps-1e-8 - test/accuracy","mlp-pre-ra-eps-1e-8 - test/accuracy__MIN","mlp-pre-ra-eps-1e-8 - test/accuracy__MAX","attn-pre-ra-eps-1e-8 - test/accuracy","attn-pre-ra-eps-1e-8 - test/accuracy__MIN","attn-pre-ra-eps-1e-8 - test/accuracy__MAX","pre-ra-eps-1e-8 - test/accuracy","pre-ra-eps-1e-8 - test/accuracy__MIN","pre-ra-eps-1e-8 - test/accuracy__MAX","none-ra-eps-1e-8 - test/accuracy","none-ra-eps-1e-8 - test/accuracy__MIN","none-ra-eps-1e-8 - test/accuracy__MAX"
"1","0.008279257453978062","0.008279257453978062","0.008279257453978062","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.008167375810444355","0.008167375810444355","0.008167375810444355","0.0071604386903345585","0.0071604386903345585","0.0071604386903345585"
"2","0.008167375810444355","0.008167375810444355","0.008167375810444355","0.007384202443063259","0.007384202443063259","0.007384202443063259","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.008055493235588074","0.008055493235588074","0.008055493235588074"
"3","0.008391139097511768","0.008391139097511768","0.008391139097511768","0.008391139097511768","0.008391139097511768","0.008391139097511768","0.007943611592054367","0.007943611592054367","0.007943611592054367","0.008279257453978062","0.008279257453978062","0.008279257453978062"
"4","0.006936674937605858","0.006936674937605858","0.006936674937605858","0.007384202443063259","0.007384202443063259","0.007384202443063259","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.006712911184877157","0.006712911184877157","0.006712911184877157"
"5","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.005929738283157349","0.005929738283157349","0.005929738283157349","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.006153502035886049","0.006153502035886049","0.006153502035886049"
"6","0.005929738283157349","0.005929738283157349","0.005929738283157349","0.00637726578861475","0.00637726578861475","0.00637726578861475","0.007943611592054367","0.007943611592054367","0.007943611592054367","0.006265383679419756","0.006265383679419756","0.006265383679419756"
"7","0.006265383679419756","0.006265383679419756","0.006265383679419756","0.006824793294072151","0.006824793294072151","0.006824793294072151","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.006041619926691055","0.006041619926691055","0.006041619926691055"
"8","0.00637726578861475","0.00637726578861475","0.00637726578861475","0.006712911184877157","0.006712911184877157","0.006712911184877157","0.00783172994852066","0.00783172994852066","0.00783172994852066","0.006041619926691055","0.006041619926691055","0.006041619926691055"
"9","0.005258447024971247","0.005258447024971247","0.005258447024971247","0.006265383679419756","0.006265383679419756","0.006265383679419756","0.0066010295413434505","0.0066010295413434505","0.0066010295413434505","0.005258447024971247","0.005258447024971247","0.005258447024971247"
"10","0.00514656538143754","0.00514656538143754","0.00514656538143754","0.0071604386903345585","0.0071604386903345585","0.0071604386903345585","0.0066010295413434505","0.0066010295413434505","0.0066010295413434505","0.004475274123251438","0.004475274123251438","0.004475274123251438"
"11","0.004922801628708839","0.004922801628708839","0.004922801628708839","0.006712911184877157","0.006712911184877157","0.006712911184877157","0.006712911184877157","0.006712911184877157","0.006712911184877157","0.004587156232446432","0.004587156232446432","0.004587156232446432"
"12","0.004922801628708839","0.004922801628708839","0.004922801628708839","0.006489147432148457","0.006489147432148457","0.006489147432148457","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.004475274123251438","0.004475274123251438","0.004475274123251438"
