"Step","model.ln_type: mlp-pre - alpha_req/alpha_test","model.ln_type: mlp-pre - alpha_req/alpha_test__MIN","model.ln_type: mlp-pre - alpha_req/alpha_test__MAX","model.ln_type: pre - alpha_req/alpha_test","model.ln_type: pre - alpha_req/alpha_test__MIN","model.ln_type: pre - alpha_req/alpha_test__MAX","model.ln_type: attn-pre - alpha_req/alpha_test","model.ln_type: attn-pre - alpha_req/alpha_test__MIN","model.ln_type: attn-pre - alpha_req/alpha_test__MAX","model.ln_type: off - alpha_req/alpha_test","model.ln_type: off - alpha_req/alpha_test__MIN","model.ln_type: off - alpha_req/alpha_test__MAX"
"1","1.5978922787791239","1.4832134544122044","1.9316264149179811","2.238319386090895","1.4423549600585748","2.998243750146497","2.777805023436092","2.47877613789026","3.0649781921098214","1.6340091816265883","1.502464189822005","2.0969126053953433"
"200","3.8586789646444","2.9116373916590446","4.339425261884981","4.836879883217781","3.8537483539179402","6.0363844331787355","3.7613007490959633","3.097869298355662","4.45251303172227","3.0303038426099684","2.62603283090319","3.34731789817914"
"400","2.162418189749661","1.9885499067898869","2.537470301312509","4.190049935865902","3.312651337532376","6.022850465376676","4.153177104660687","3.2444513380434783","5.213480993711355","3.263675323728022","2.837322815833001","4.173709123722951"
"600","1.8308808002848878","1.6960148696301196","1.9766365838982702","5.626634095428796","3.1168571968573016","7.590790836885257","4.638702710457603","3.314818327027315","6.1104405507100195","2.9657858663690617","2.595050436118945","3.3613640353782457"
"800","1.5690889615063022","1.291915413017817","1.7688540481706672","4.3577999610750044","2.978885517547396","7.233320256678243","4.5580732460509505","3.603307278400196","6.321285919918671","2.9589916560330556","2.513429064557419","3.3634181019977945"
"1000","1.289089162946277","1.2572197722612874","1.3108158561992997","3.6275443281127195","2.7006508396965563","4.77263425718351","4.5955973307367515","4.225202014280558","5.590803882357591","2.9942572055922136","2.456015101407362","3.547271577937026"
"1200","1.3018415717499547","1.2536591301461781","1.3317045725107433","3.1934284755983633","2.5037914577014835","4.016178935007829","4.49472800504794","3.881839415768029","5.331933991390963","2.9740111941050125","2.4116139380228256","3.494754369149694"
"1400","1.2942193548629075","1.2586496336250845","1.330851334817332","3.4710474803250584","2.509740611272206","4.418693911020478","4.7834761549423614","4.116635889883749","5.29624635912865","2.9307565915387146","2.358156194698278","3.8676443926436557"
"1600","1.314031346668887","1.2932340095819468","1.350372989414197","3.2592497175704658","2.0957672386788992","4.833826087864309","4.503556179343654","2.935823980352531","5.5090372445094635","2.9710201410011052","2.2610641311387285","4.032267486416032"
"1800","3.0930052123427982","1.2887735535055815","10.017874454369755","2.9558999662204064","1.804354643157097","4.789882220200596","4.702681065415938","2.954104055645474","6.801689098020236","2.948904827248504","2.1294731615409246","4.137607883485135"
"2000","1.7431367230264343","1.2627355313589828","3.5679677167999437","2.4396200852448624","1.4076059591852785","3.138730119226431","3.654746268939803","2.331324692324918","5.0378423090656925","2.645504145524986","2.1093499753976355","3.9051583581870526"
"2200","1.6725603103449376","1.2600334890614744","3.2470743053448845","1.7589984875804994","1.2159378312920508","2.6477032498564137","3.6922137186478396","2.450984756850136","5.045108955289625","2.6786385784978224","2.2161526505619893","3.9285077239489983"
"2400","1.7330367619814075","1.2687378483771161","3.390613219619976","1.6367949686774903","1.2095362370520175","2.231150553319292","4.153953530637819","2.4720200211201235","5.785227801982681","2.777421062465762","2.230253594647354","4.38990496232068"
"2600","2.01560350662938","1.2523156385013867","3.366863832396695","1.6975872362236757","1.2689653391190379","2.9476958346248754","4.027101256710354","2.5041033135855955","5.473174916471065","2.666138296593581","2.218819013454269","3.827618676187092"
"2800","1.6708324301112505","1.2621395266234716","3.273993059200932","2.7305950449593577","1.2240484331988994","5.474301309903125","3.1721417075246343","2.395202547042625","5.171229747952667","2.926213538014513","1.9212152025240476","5.446501283969981"
"3000","1.593884806686534","1.2729744134301093","2.788941340320888","2.0123264398383354","1.289623730237396","3.12894921720876","4.001384823891738","2.483245787142743","7.018214230118176","2.4482411640447177","1.9193414932553217","3.27752949502113"
"3200","1.3084975155390293","1.2771228513076847","1.4062721513512015","2.4012688231249406","1.3192003068317826","4.449701570378705","3.4878027551803163","2.0818354977496405","6.040698560260619","2.416339493942781","1.9999355784779902","2.9685459254798836"
"3400","1.2840326833014952","1.2633046119349132","1.3235799506510886","1.6465557140761615","1.2846062906090676","3.0165899252073087","3.178598609972743","1.669970861539292","6.681941242442416","2.406582435744994","1.9974355450717498","2.967482039100987"
"3600","1.470849805592409","1.2782207519829334","2.1606293614068406","3.297713989750366","1.273389782159549","9.193656826975667","3.3088912066267904","1.4380538905731635","6.336288897795154","2.3969917509161913","1.992504668905328","2.956663104256428"
"3800","1.5039800487790367","1.2780650654546621","2.2786477031479335","2.6171558414732043","1.3059839017110006","4.154300596421361","4.1693687384318645","1.3011955999353892","7.312324272007561","2.8921803834362074","2.0877408148653127","4.944878704474538"
"4000","1.2967305959796047","1.2661577182798793","1.3769228643857294","1.9686791864991449","1.2725037876438197","2.7295401219191575","3.9370598312250515","1.310690633671481","6.970670973680362","2.9203253969465974","1.9798975263757779","5.096970251026842"
"4200","3.614201609827197","1.2687679045935243","12.868859542108293","2.765287460714845","1.263646647605288","8.617595805121065","3.8743990726805384","1.3253255310741452","6.541035004985584","2.9210922718709345","1.9699520836396487","5.245036567999129"
"4400","1.6202683913542952","1.252568289642611","2.976196515364519","1.947067870859201","1.2598808089615021","3.1970463131925","2.617945659032929","1.3441783865365926","4.715420195233161","2.8902116825462194","1.957518607139078","5.159519179326263"
"4600","1.336627076519385","1.2751576307347587","1.4035606930907023","2.100908503139848","1.2635988850056015","3.5080270860049803","2.5008332150281065","1.2913845214692068","4.0217480149910685","2.6869440386528787","1.9427789768908132","4.130425277482729"
"4800","1.296044338670764","1.2658588865805624","1.3663359113430054","1.7589891797742019","1.2568259685502765","3.71511967721529","3.0877229456674398","1.3084094114368452","6.9542529156177375","2.728937273787804","1.910836195739571","4.6982436717153995"
"5000","1.3507089238614793","1.2756227051684412","1.5077160284161493","1.8366156044527986","1.2589253970920162","4.049858166091302","3.0654193088109016","1.2927616460798608","6.741226424506606","2.5411100880178976","1.8610302754617667","3.856565243423589"
"5200","1.3586373471874726","1.278968249339098","1.4176518077097602","1.8948820667230322","1.278465687632096","2.8423894546411956","2.4031769152729288","1.2917463408750254","6.575903314894375","2.4245141830930286","1.7746534641810552","3.3806801666158495"
"5400","1.9820911517113493","1.2617499235528016","3.6118212426586824","1.9661498733555915","1.2748266480210801","3.5365899666816114","2.124907046488298","1.2641638988309918","5.319039590141076","2.2143577181643193","1.2991721538803658","2.9369142021299814"
"5600","1.7638479702147432","1.2734582925406293","3.251240185670028","1.8846292906648412","1.262774429866109","4.346628827064674","2.0709647978312353","1.2595531891476122","5.139587929170648","2.136292588683591","1.3383832610409259","2.548870094799497"
"5800","1.5138241683770577","1.2735338145827784","2.268220335696821","2.684432138662711","1.2823494667138993","4.167453016881221","1.99974688635604","1.266063911080682","4.853897398967364","2.0624382793407703","1.4930214707406786","2.405561609494451"
"6000","2.709615321720249","1.2754446076514088","5.643349504686504","3.4443275005279417","1.2906291475922032","7.413923810073867","2.052316222418619","1.295955426142846","5.0266774408847645","1.831973089718525","1.227899089872581","2.4001340045104076"
"6200","1.5422716337560334","1.2788389345656177","2.3466460492856385","2.137675457738368","1.2591231993037864","4.393037386880464","1.888399092990347","1.3073488295213247","4.187626307497069","1.8354799475341004","1.2495383121838761","2.3827746390177262"
"6400","2.6545634249470558","1.2726186271348081","5.006600756604365","2.551916541176838","1.2585991329139243","4.400692535593833","1.5094484413038143","1.3070739133544589","2.2934228417129754","1.7988169650369954","1.2710318587046665","2.3744556307130518"
"6600","1.7355600091800611","1.2704322417194733","3.199162416095524","1.5872845265930282","1.2618442319276473","2.829514968757027","1.5133319777231893","1.2937286649812996","2.2777941626483313","1.722116193008753","1.2935413019731012","2.3683652358496454"
"6800","1.3406510051735048","1.26385684009755","1.4208956564991444","2.4778442004323034","1.2678108885147061","5.071259564414954","1.3595510071662165","1.3045919481349624","1.4890011908416918","1.733654703236533","1.3098613890592397","2.4088370860739334"
"7000","2.874899744703145","1.2792486303765784","4.951935590024017","1.784140656634289","1.2528222799192266","2.717798624358023","1.348713089515864","1.3022621608950873","1.393322345407804","1.8960937655683694","1.318494147827876","2.36842134918542"
"7200","1.6835916440849172","1.2596822354434858","3.2200982694206512","4.057019878991266","1.2707359724556753","7.210139744729095","1.3063923964859288","1.2550709023426732","1.3422973581971085","1.7297687287748178","1.261026276412387","2.360769448170114"
"7400","1.365396618024267","1.2788860043323886","1.466644015746811","1.6482948495122063","1.2647813312084644","2.6916297006663816","1.331620147579399","1.3048142433425192","1.3954381290797226","1.7616381228126223","1.3083421730810596","2.205599188004876"
"7600","1.6332174629982792","1.284769064195776","2.841582604205546","1.780645453786914","1.2642851626383786","2.849608391180964","1.308019285562985","1.294929828459261","1.3343188389928884","1.7716768183953882","1.2880239736188477","2.4302497541426398"
"7800","1.3306275653585646","1.266537543245248","1.4879264356999076","2.1709722529731033","1.2688099263026547","3.0677597871197086","1.3209089974852355","1.2885601595088767","1.3688085867939426","1.7177750860781154","1.2968518981717874","2.2730172835346236"
"8000","1.5828502797533648","1.2641674841463182","2.6316899519733923","2.1488706481811533","1.2643938059769686","3.5785030173124976","1.324772193442569","1.2963497197091518","1.3616155392552274","1.5778655257731475","1.2947460849366035","2.1547712731474253"
