"Step","model.ln_type: mlp-pre - alpha_req/effective_rank_test","model.ln_type: mlp-pre - alpha_req/effective_rank_test__MIN","model.ln_type: mlp-pre - alpha_req/effective_rank_test__MAX","model.ln_type: pre - alpha_req/effective_rank_test","model.ln_type: pre - alpha_req/effective_rank_test__MIN","model.ln_type: pre - alpha_req/effective_rank_test__MAX","model.ln_type: attn-pre - alpha_req/effective_rank_test","model.ln_type: attn-pre - alpha_req/effective_rank_test__MIN","model.ln_type: attn-pre - alpha_req/effective_rank_test__MAX","model.ln_type: off - alpha_req/effective_rank_test","model.ln_type: off - alpha_req/effective_rank_test__MIN","model.ln_type: off - alpha_req/effective_rank_test__MAX"
"1","2.0665884733200075","1.862392783164978","2.2640936374664307","27.83244857788086","24.597911834716797","31.8278865814209","27.113817596435545","17.944040298461914","31.819913864135742","1.8174280643463134","1.7112878561019897","1.9239238500595093"
"200","57.64593658447266","49.7811393737793","61.0760383605957","55.563026428222656","54.63846206665039","56.494346618652344","53.984521484375","51.79570007324219","54.697898864746094","29.988285064697266","28.894804000854492","31.77734375"
"400","40.1552978515625","39.176639556884766","42.41454315185547","52.7076530456543","51.456600189208984","53.42551040649414","57.12309341430664","56.1756477355957","58.35280227661133","33.82808151245117","31.181095123291016","35.64664840698242"
"600","31.402202987670897","24.553457260131836","40.19019317626953","49.256262969970706","46.932395935058594","51.476009368896484","57.65156631469726","55.321502685546875","59.16012954711914","35.126464462280275","31.289262771606445","37.904300689697266"
"800","24.57198371887207","21.274850845336914","26.045482635498047","48.08176879882812","45.13771438598633","51.96205139160156","58.10584335327148","54.543643951416016","60.29072570800781","35.54560585021973","30.51129722595215","39.08147048950195"
"1000","20.701368713378905","18.02354621887207","24.170019149780273","44.653255462646484","40.34531784057617","48.601905822753906","56.8478515625","54.071632385253906","58.408084869384766","35.64253120422363","29.56898307800293","39.75505828857422"
"1200","18.386302947998047","12.98879623413086","24.898334503173828","40.465302276611325","33.41581726074219","45.16362380981445","56.07316665649414","54.20458221435547","57.2939453125","35.65465660095215","28.674467086791992","40.30661392211914"
"1400","18.300440979003906","13.548212051391602","22.2633056640625","41.298929595947264","36.0587158203125","44.41514587402344","56.601629638671874","55.30272674560547","57.92155838012695","35.80824432373047","28.02655792236328","40.926048278808594"
"1600","15.07603416442871","11.508835792541504","18.530902862548828","33.72361545562744","9.085209846496582","42.931236267089844","55.9379150390625","54.989593505859375","56.7165412902832","36.01186561584473","27.503482818603516","41.49382781982422"
"1800","13.321038150787354","6.981468677520752","18.19822120666504","34.54114189147949","25.272842407226562","41.961788177490234","55.93706512451172","53.980438232421875","58.59696960449219","35.99948387145996","26.872663497924805","41.87491226196289"
