"Step","model.ln_type: mlp-pre - grads/weight_norm","model.ln_type: mlp-pre - grads/weight_norm__MIN","model.ln_type: mlp-pre - grads/weight_norm__MAX","model.ln_type: pre - grads/weight_norm","model.ln_type: pre - grads/weight_norm__MIN","model.ln_type: pre - grads/weight_norm__MAX","model.ln_type: attn-pre - grads/weight_norm","model.ln_type: attn-pre - grads/weight_norm__MIN","model.ln_type: attn-pre - grads/weight_norm__MAX","model.ln_type: off - grads/weight_norm","model.ln_type: off - grads/weight_norm__MIN","model.ln_type: off - grads/weight_norm__MAX"
"1","35.63042794238062","35.5440211766515","35.705096020539386","35.63042794238062","35.5440211766515","35.705096020539386","35.63042794238062","35.5440211766515","35.705096020539386","31.835931861858974","31.739207919164233","31.919488714038405"
"2","35.5950930088861","35.50911799717785","35.669178336529214","35.57473963932618","35.48551709962989","35.64612689065514","35.58050185526393","35.49327346043895","35.65148754895264","31.803653022620644","31.70639768716836","31.883888351733095"
"3","35.56153355001306","35.4766098119592","35.63549906968208","35.521956974066136","35.43372616865622","35.59114688132605","35.53718115123955","35.45281683702562","35.60615421206617","31.781339637731048","31.683279505053015","31.85842476513277"
"4","35.529322268802446","35.445583706533526","35.60303084941032","35.47432311131013","35.38778617201491","35.541330268105646","35.50009039665239","35.41894562214374","35.567566093457955","31.76725461242312","31.667958872346432","31.841423032005416"
"5","35.49921015884779","35.415807472727664","35.572339779973355","35.432122082881506","35.34714492426333","35.49700829163283","35.469072953156264","35.390452538211136","35.53483656040928","31.759937158129894","31.658739027888295","31.831386752970527"
"6","35.47192918980852","35.38781721753794","35.54410703508916","35.39554288336609","35.31197801052251","35.4581258179763","35.44419669868881","35.367490368981514","35.50778413777745","31.758292167833368","31.654323809241486","31.826990690698064"
"7","35.44792578322124","35.36225408075502","35.51857389869243","35.36457237537418","35.2825301472804","35.42461805655955","35.42558322580133","35.35045319392136","35.48657488502254","31.761670538840445","31.65408857070738","31.82732533052868"
"8","35.427420826482894","35.33973127296404","35.49571352587432","35.338999740970834","35.25876200111913","35.39618816650672","35.41331204158049","35.33957756096555","35.47140855950483","31.76987362378207","31.6579649631095","31.83200512523471"
"9","35.410602155711004","35.32072463677929","35.475680765578694","35.318504457641644","35.24034213606882","35.37252917607815","35.40732528127112","35.33490716080205","35.462322173615654","31.783064348007322","31.666348532701576","31.84107703912854"
"10","35.39765257459041","35.30550954038548","35.45875237677134","35.30283760485329","35.22687870644286","35.35352290835031","35.4073841379343","35.33626481857024","35.45917753536276","31.80162122733835","31.679892685833668","31.854907116830134"
"11","35.38872074163738","35.294211940265434","35.44517560448548","35.29191893363755","35.218103573814666","35.339252863759725","35.41309869319592","35.34319220658432","35.461709447149644","31.825986837111156","31.69926953361613","31.88339158840677"
"12","35.38393446472888","35.28690651621894","35.43508865252774","35.28576343859528","35.21390238099773","35.32986471556766","35.424016769144274","35.355099097959865","35.46958114389621","31.85655233054584","31.724979183589998","31.918350002694865"
"13","35.383372950046095","35.28366494170851","35.428546184759334","35.284404351741884","35.21427329855484","35.32545392931986","35.43974803825465","35.3714783334283","35.4824484835901","31.89359850852958","31.757288779506982","31.960018930823455"
"14","35.387071487446725","35.284547149965306","35.43189164174699","35.28785229348856","35.21928030323909","35.325996452904555","35.460015462802225","35.39202018497161","35.50003782458372","31.937322991232396","31.796313531590712","32.00854950182744"
"15","35.39504173806891","35.28958915231321","35.443951270147984","35.29608172022405","35.22900977721078","35.331376315447294","35.484626865124085","35.416567478415026","35.52213768377404","31.987883689369095","31.842124590509034","32.064059035560945"
"16","35.40731102809893","35.298834122810455","35.46068706537477","35.309047178455465","35.24351495920473","35.341434149924325","35.5134209794531","35.44506884283676","35.55078618592703","32.04541953795705","31.894800835128287","32.126677591776236"
"17","35.4239102581804","35.312323699781146","35.482107892129946","35.326685442986175","35.26280034101978","35.35785596604558","35.546244504225214","35.47750614661088","35.58511850731549","32.11003701475413","31.954393312236817","32.19652672273536"
