"Step","model.ln_type: mlp-pre - alpha_req/rank_test","model.ln_type: mlp-pre - alpha_req/rank_test__MIN","model.ln_type: mlp-pre - alpha_req/rank_test__MAX","model.ln_type: pre - alpha_req/rank_test","model.ln_type: pre - alpha_req/rank_test__MIN","model.ln_type: pre - alpha_req/rank_test__MAX","model.ln_type: attn-pre - alpha_req/rank_test","model.ln_type: attn-pre - alpha_req/rank_test__MIN","model.ln_type: attn-pre - alpha_req/rank_test__MAX","model.ln_type: off - alpha_req/rank_test","model.ln_type: off - alpha_req/rank_test__MIN","model.ln_type: off - alpha_req/rank_test__MAX"
"1","88.6","82","91","128","128","128","128","128","128","82.4","80","86"
"200","128","128","128","128","128","128","128","128","128","128","128","128"
"400","128","128","128","128","128","128","128","128","128","128","128","128"
"600","128","128","128","128","128","128","128","128","128","128","128","128"
"800","128","128","128","128","128","128","128","128","128","128","128","128"
"1000","128","128","128","128","128","128","128","128","128","128","128","128"
"1200","122.2","107","128","128","128","128","128","128","128","128","128","128"
"1400","118.8","106","127","128","128","128","128","128","128","128","128","128"
"1600","95.6","82","110","122.2","99","128","128","128","128","128","128","128"
"1800","73.2","47","88","128","128","128","128","128","128","128","128","128"
"2000","71.6","62","82","122.2","99","128","128","128","128","128","128","128"
"2200","62","53","71","110","78","128","128","128","128","128","128","128"
"2400","52.2","39","59","105.2","64","128","128","128","128","127.8","127","128"
"2600","54","49","62","93.4","53","124","128","128","128","127.2","124","128"
"2800","53","47","57","80","45","116","128","128","128","126.8","123","128"
"3000","47","36","56","66","41","89","128","128","128","126.4","122","128"
"3200","40","34","55","56","35","71","128","128","128","125.6","120","128"
"3400","40","32","54","42.8","27","61","128","128","128","124.8","118","128"
"3600","40","34","52","37.6","23","52","128","128","128","124","116","128"
"3800","34.6","29","43","35.2","22","47","126.6","121","128","123","114","128"
"4000","37.4","33","47","31.8","20","41","125.6","116","128","122","112","128"
"4200","37.6","32","47","29","19","38","124.4","110","128","120.8","110","128"
"4400","32","28","37","27","17","36","122.8","102","128","119.8","107","128"
"4600","34.8","26","40","25.4","16","35","119","98","128","118.6","104","128"
"4800","36","32","40","25.6","16","34","114.4","88","128","117.6","101","128"
"5000","33","29","39","24.2","15","31","111","85","128","115.6","97","127"
"5200","33.4","30","36","23.4","15","29","109.4","79","128","113.2","92","126"
"5400","34.4","30","39","23","15","30","106.6","70","128","110.6","86","124"
"5600","30.4","21","40","23.4","13","31","103.8","67","128","108","79","124"
"5800","31.4","26","38","23.2","14","32","100.2","65","128","104.2","72","123"
"6000","34.8","32","41","22.8","14","29","96.4","59","128","100.2","66","122"
"6200","29.8","25","35","22.8","15","28","93.6","54","128","96.4","60","120"
"6400","32.8","29","42","23.2","15","30","88.8","52","128","92.6","59","119"
"6600","33.6","29","42","22.6","14","29","86.8","52","128","89","57","116"
"6800","29","26","32","22.4","14","30","84","49","128","84.8","54","114"
"7000","30.6","25","39","22.2","15","28","81.2","47","128","80.6","49","111"
"7200","31.4","28","38","22.6","14","30","79.8","45","124","75.6","44","107"
"7400","28.8","26","32","21","12","28","77.6","44","117","70.8","42","101"
"7600","31.6","29","35","22.6","14","28","76.2","45","112","65.4","38","94"
"7800","30.4","22","44","22.4","15","27","73.4","44","107","59.6","36","85"
"8000","31","24","41","22.6","16","28","71.8","43","106","55","33","77"
"8200","31.8","28","41","21.8","14","28","69.8","42","103","52","31","73"
"8400","29.8","22","39","22","13","27","68.4","42","100","49","31","67"
"8600","28.2","26","29","20.4","14","27","66.8","42","94","45.4","30","61"
"8800","29.6","26","35","21.4","13","25","66.4","43","90","42.6","30","56"
"9000","30.2","21","42","21","13","27","64.2","44","83","40","29","51"
"9200","31.4","27","37","21.2","12","27","62.8","44","77","37.8","28","46"
"9400","31.8","27","42","20","12","27","61.8","45","74","36","27","44"
"9600","30.8","24","41","21.4","14","27","62.6","43","77","34.4","27","40"
"9800","27.8","22","36","21.4","14","24","62.6","43","77","33","26","38"
"10000","31.4","28","41","22","15","25","62.8","44","77","32.2","26","38"
