"Step","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: off - train/loss","model.ln_type: off - train/loss__MIN","model.ln_type: off - train/loss__MAX"
"1","4.874396800994873","4.846619129180908","4.955951690673828","4.943988990783692","4.921494960784912","4.986854553222656","4.831366634368896","4.815847396850586","4.856916904449463","4.74176254272461","4.738137245178223","4.745119094848633"
"2","4.762032318115234","4.754557132720947","4.782050132751465","4.8127459526062015","4.799500942230225","4.8327317237854","4.767011642456055","4.755644798278809","4.782111167907715","4.733774662017822","4.731469631195068","4.735577583312988"
"3","4.746901321411133","4.742686748504639","4.758113861083984","4.745178985595703","4.734821796417236","4.757953643798828","4.72961311340332","4.722358703613281","4.7442522048950195","4.728042793273926","4.726412773132324","4.7291131019592285"
"4","4.73569974899292","4.728941917419434","4.747071743011475","4.690530776977539","4.677698612213135","4.697993278503418","4.7016302108764645","4.692730903625488","4.709995746612549","4.723614311218261","4.722319602966309","4.724656581878662"
"5","4.721176528930664","4.7139201164245605","4.731227397918701","4.640773677825928","4.626252174377441","4.65127420425415","4.677507305145264","4.666792392730713","4.681685447692871","4.719937896728515","4.718811988830566","4.7210612297058105"
"6","4.708209896087647","4.700980186462402","4.719457149505615","4.591998195648193","4.578542232513428","4.606940746307373","4.65343713760376","4.64078950881958","4.660527229309082","4.716649723052979","4.7156081199646","4.717926979064941"
"7","4.697066593170166","4.689365863800049","4.710300445556641","4.543889427185059","4.530984401702881","4.558322429656982","4.627389907836914","4.6127424240112305","4.636369228363037","4.713502979278564","4.712500095367432","4.714945316314697"
"8","4.686448287963867","4.679542064666748","4.699650764465332","4.4976166725158695","4.48324728012085","4.511929988861084","4.598858737945557","4.58268404006958","4.609064102172852","4.710356521606445","4.709356784820557","4.711942195892334"
"9","4.675798034667968","4.668985366821289","4.6875901222229","4.4524787902832035","4.435773849487305","4.468603134155273","4.568198490142822","4.550883769989014","4.579444885253906","4.707161998748779","4.706116199493408","4.708888530731201"
"10","4.665135288238526","4.657357692718506","4.675912380218506","4.407308197021484","4.389289855957031","4.424810409545898","4.535961532592774","4.517515182495117","4.548406600952148","4.7039158821105955","4.702756881713867","4.705827713012695"
"11","4.6543701171875","4.6455769538879395","4.66551399230957","4.361964321136474","4.342437267303467","4.3796892166137695","4.502454376220703","4.48258638381958","4.516257286071777","4.700607872009277","4.699288368225098","4.702785015106201"
"12","4.64320125579834","4.633420944213867","4.65610933303833","4.316735553741455","4.296243190765381","4.334354877471924","4.467710971832275","4.446126937866211","4.4828877449035645","4.697197532653808","4.695694446563721","4.6997246742248535"
"13","4.631289672851563","4.620386600494385","4.646816253662109","4.271653938293457","4.2506279945373535","4.289509296417236","4.431686878204346","4.408348083496094","4.4481072425842285","4.693621253967285","4.691921710968018","4.696563243865967"
"14","4.618319320678711","4.605959892272949","4.636765480041504","4.226494789123535","4.205012321472168","4.244835376739502","4.394403743743896","4.369513511657715","4.41182279586792","4.689812564849854","4.687895774841309","4.693212985992432"
"15","4.604049873352051","4.58989143371582","4.6255292892456055","4.18105182647705","4.159045219421387","4.199740409851074","4.355933475494385","4.329728126525879","4.374023914337158","4.685711669921875","4.683535575866699","4.689610958099365"
"16","4.588408470153809","4.5722975730896","4.613112926483154","4.135267066955566","4.112741470336914","4.154048442840576","4.316295433044433","4.288869857788086","4.334717750549316","4.6812639236450195","4.678758144378662","4.685716152191162"
"17","4.571509933471679","4.5535383224487305","4.599639415740967","4.089090633392334","4.066161155700684","4.107853412628174","4.275401210784912","4.246707916259766","4.2939252853393555","4.676410102844239","4.673480987548828","4.681492328643799"
"18","4.5534991264343265","4.5339202880859375","4.585109233856201","4.042397975921631","4.019177436828613","4.062094688415527","4.233099269866943","4.203071594238281","4.251683235168457","4.671081256866455","4.667628288269043","4.6768903732299805"
"19","4.534383773803711","4.513265132904053","4.569448947906494","3.9950506687164307","3.971548080444336","4.015994548797607","4.189270305633545","4.157930374145508","4.20801305770874","4.665203285217285","4.661135673522949","4.671848297119141"
"20","4.514155769348145","4.490869045257568","4.552690505981445","3.946905517578125","3.9230337142944336","3.9690439701080322","4.143876647949218","4.111326217651367","4.162868499755859","4.658705615997315","4.653954029083252","4.6663007736206055"
"21","4.4929577827453615","4.467185974121094","4.534987449645996","3.897828197479248","3.873258590698242","3.921220064163208","4.096926593780518","4.0632643699646","4.116121768951416","4.651531314849853","4.646058559417725","4.660187721252441"
"22","4.470915222167969","4.4425177574157715","4.516473770141602","3.8477493286132813","3.8222193717956543","3.8724453449249268","4.048402786254883","4.013667106628418","4.067615985870361","4.643637084960938","4.637458324432373","4.653443336486816"
"23","4.448009967803955","4.417191982269287","4.49721097946167","3.79665789604187","3.7699713706970215","3.8226318359375","3.998231315612793","3.9624059200286865","4.017241954803467","4.634998893737793","4.628206729888916","4.64599609375"
"24","4.424173355102539","4.391228199005127","4.477203369140625","3.7445209980010987","3.7166171073913574","3.771745443344116","3.9463257789611816","3.909418821334839","3.964958667755127","4.625622081756592","4.618403434753418","4.63778018951416"
"25","4.3992462158203125","4.364194869995117","4.4564104080200195","3.691252040863037","3.6622211933135986","3.7197799682617188","3.892640495300293","3.8547677993774414","3.910766124725342","4.615549755096436","4.608188629150391","4.62875509262085"
"26","4.373019027709961","4.335458755493164","4.434847831726074","3.6367591381073","3.606691837310791","3.666682720184326","3.8371742248535154","3.7985622882843018","3.854671001434326","4.60485954284668","4.597020149230957","4.618916034698486"
"27","4.3453961372375485","4.304754257202148","4.412583351135254","3.580993175506592","3.549931287765503","3.612387180328369","3.7799399375915526","3.740835428237915","3.7968714237213135","4.593644809722901","4.585329532623291","4.608290672302246"
"28","4.316236209869385","4.271823406219482","4.3895487785339355","3.5239333152770995","3.4919533729553223","3.5568220615386963","3.7209339141845703","3.681501865386963","3.7384626865386963","4.581999397277832","4.573430061340332","4.5969438552856445"
"29","4.285340976715088","4.236608505249023","4.365426063537598","3.4655548572540282","3.432746648788452","3.4999167919158936","3.6601185321807863","3.620431423187256","3.678229808807373","4.570014095306396","4.561433792114258","4.5849995613098145"
"30","4.2525710105896","4.199399471282959","4.339856147766113","3.405868482589722","3.3722589015960693","3.441699266433716","3.5974567890167237","3.5575358867645264","3.6160683631896973","4.557793712615966","4.549398899078369","4.572641372680664"
"31","4.218105983734131","4.160891532897949","4.312808036804199","3.3449188232421876","3.3105432987213135","3.382204294204712","3.5329705715179442","3.4928109645843506","3.551978826522827","4.545443439483643","4.537334442138672","4.560078144073486"
"32","4.182424736022949","4.122175216674805","4.28418493270874","3.282708930969238","3.2476491928100586","3.3214330673217773","3.4667086601257324","3.4263124465942383","3.4860892295837402","4.533038997650147","4.52495002746582","4.547515392303467"
"33","4.146022033691406","4.083712100982666","4.253612995147705","3.2192519664764405","3.1836087703704834","3.2594172954559326","3.398672342300415","3.3580493927001953","3.4184749126434326","4.520618534088134","4.512322902679443","4.535121440887451"
"34","4.109217166900635","4.045344352722168","4.2209577560424805","3.1546100616455077","3.118516445159912","3.196216583251953","3.328832483291626","3.2879340648651123","3.3490986824035645","4.508192253112793","4.499577522277832","4.522974967956543"
"35","4.0717168807983395","4.00606107711792","4.186361789703369","3.0888000965118407","3.0523324012756348","3.131812810897827","3.2571937084197997","3.2159042358398438","3.277935266494751","4.495761680603027","4.486807346343994","4.511031627655029"
"36","4.033166074752808","3.9654273986816406","4.150272369384766","3.0218571186065675","2.9850707054138184","3.0662245750427246","3.183811664581299","3.1420352458953857","3.2050020694732666","4.483316135406494","4.47408390045166","4.4991302490234375"
"37","3.99389967918396","3.92425537109375","4.113640785217285","2.953831100463867","2.916846513748169","2.999516248703003","3.1087427616119383","3.066384792327881","3.130439281463623","4.470825672149658","4.4613471031188965","4.4870285987854"
"38","3.954412651062012","3.882955312728882","4.077577590942383","2.8847947120666504","2.8477115631103516","2.931746006011963","3.031992959976196","2.988952159881592","3.0542688369750977","4.458250236511231","4.448240756988525","4.4745259284973145"
"39","3.914636993408203","3.840771198272705","4.0423431396484375","2.814811611175537","2.7776801586151123","2.862989902496338","2.953560543060303","2.9098403453826904","2.9763855934143066","4.445565319061279","4.435204029083252","4.461572647094727"
"40","3.8741096019744874","3.7971818447113037","4.006879806518555","2.7439302444458007","2.7067980766296387","2.7932686805725098","2.873484992980957","2.8290631771087646","2.8968279361724854","4.432767486572265","4.422239780426025","4.44827938079834"
"41","3.8324851989746094","3.7524795532226562","3.970045804977417","2.672261619567871","2.6352250576019287","2.7227163314819336","2.7918259143829345","2.746640682220459","2.8156707286834717","4.419880771636963","4.409292221069336","4.434845447540283"
"42","3.78971586227417","3.706979990005493","3.9316842555999756","2.599885654449463","2.5630006790161133","2.6514570713043213","2.708670139312744","2.662614345550537","2.733078956604004","4.406942081451416","4.396274089813232","4.421442031860352"
"43","3.7459410667419433","3.6605594158172607","3.8923895359039307","2.52685866355896","2.490121603012085","2.57952618598938","2.624081087112427","2.577094078063965","2.6491050720214844","4.393995475769043","4.383136749267578","4.408162593841553"
"44","3.70135703086853","3.6131961345672607","3.852478265762329","2.453247833251953","2.416680335998535","2.506943941116333","2.538105344772339","2.4901516437530518","2.5638375282287598","4.381081867218017","4.3698954582214355","4.39501428604126"
"45","3.6560518741607666","3.565098524093628","3.8115932941436768","2.3791590690612794","2.342834949493408","2.433837652206421","2.4508039951324463","2.401867628097534","2.477372884750366","4.368227005004883","4.3565802574157715","4.381964683532715"
"46","3.609938859939575","3.5164430141448975","3.769577980041504","2.3047184467315676","2.268666982650757","2.3604352474212646","2.3622575283050535","2.3122971057891846","2.389739513397217","4.355436515808106","4.3432135581970215","4.368974685668945"
"47","3.562869119644165","3.46681809425354","3.7267963886260986","2.2300537109375","2.194244861602783","2.287102699279785","2.272593545913696","2.2215445041656494","2.300917148590088","4.342701435089111","4.329787731170654","4.35601806640625"
"48","3.514862537384033","3.4160406589508057","3.683497190475464","2.155033016204834","2.1196951866149902","2.212831974029541","2.1818708419799804","2.12967586517334","2.2111399173736572","4.330000400543213","4.316274642944336","4.343561172485352"
"49","3.4660011291503907","3.3643343448638916","3.639395236968994","2.0797780990600585","2.0450193881988525","2.137986421585083","2.0904238700866697","2.0369668006896973","2.120521068572998","4.317308521270752","4.302670478820801","4.331180572509766"
"50","3.416215181350708","3.3117449283599854","3.5941877365112305","2.004685950279236","1.9703234434127808","2.064134359359741","1.9979102611541748","1.9435828924179077","2.0281853675842285","4.3046067237854","4.289003849029541","4.318726539611816"
"51","3.365398645401001","3.258152723312378","3.5481088161468506","1.9294594764709472","1.8957074880599976","1.9893583059310913","1.9045393228530885","1.8497486114501953","1.935519814491272","4.291886520385742","4.275325775146484","4.3062615394592285"
"52","3.3136072635650633","3.20357084274292","3.501559257507324","1.8544774055480957","1.8212987184524536","1.9147816896438599","1.8112938404083252","1.755710244178772","1.842786431312561","4.279150485992432","4.26168155670166","4.293840408325195"
"53","3.260938358306885","3.1480553150177","3.4543445110321045","1.7798996686935424","1.7472254037857056","1.8409150838851929","1.717331624031067","1.6620216369628906","1.7488683462142944","4.2663853645324705","4.248068809509277","4.281461238861084"
"54","3.207322359085083","3.0916478633880615","3.4060893058776855","1.70526921749115","1.6735409498214722","1.7666122913360596","1.6233221292495728","1.568000078201294","1.6550623178482056","4.253559017181397","4.234451770782471","4.269071578979492"
"55","3.1527478218078615","3.0343446731567383","3.356761932373047","1.6310317039489746","1.6000769138336182","1.6930887699127197","1.5293765306472777","1.4733774662017822","1.561628818511963","4.240640926361084","4.220804691314697","4.256605625152588"
"56","3.097242736816406","2.9761340618133545","3.306460380554199","1.5574800968170166","1.52690851688385","1.6199698448181152","1.4356287002563477","1.380422592163086","1.4677373170852661","4.227629375457764","4.207126140594482","4.244039058685303"
