"Step","opt.learning_rate: 0.01 - train/loss","opt.learning_rate: 0.01 - train/loss__MIN","opt.learning_rate: 0.01 - train/loss__MAX","opt.learning_rate: 0.005 - train/loss","opt.learning_rate: 0.005 - train/loss__MIN","opt.learning_rate: 0.005 - train/loss__MAX","opt.learning_rate: 0.003 - train/loss","opt.learning_rate: 0.003 - train/loss__MIN","opt.learning_rate: 0.003 - train/loss__MAX","opt.learning_rate: 0.001 - train/loss","opt.learning_rate: 0.001 - train/loss__MIN","opt.learning_rate: 0.001 - train/loss__MAX"
"1","4.74176254272461","4.738137245178223","4.745119094848633","4.74176254272461","4.738137245178223","4.745119094848633","4.74176254272461","4.738137245178223","4.745119094848633","4.74176254272461","4.738137245178223","4.745119094848633"
"2","4.732718181610108","4.726491928100586","4.7377424240112305","4.722971820831299","4.721073150634766","4.724734783172607","4.725008392333985","4.723543167114258","4.72608757019043","4.733774662017822","4.731469631195068","4.735577583312988"
"3","4.709100723266602","4.705284595489502","4.71854829788208","4.707839775085449","4.706475257873535","4.710383892059326","4.7157769203186035","4.714513301849365","4.717143535614014","4.728042793273926","4.726412773132324","4.7291131019592285"
"4","4.673794841766357","4.667602062225342","4.6846466064453125","4.694188404083252","4.69175386428833","4.697940826416016","4.706930160522461","4.705731391906738","4.708739280700684","4.723614311218261","4.722319602966309","4.724656581878662"
"5","4.628757095336914","4.618096351623535","4.650287628173828","4.676544952392578","4.672508716583252","4.682953357696533","4.697724056243897","4.695997714996338","4.700211048126221","4.719937896728515","4.718811988830566","4.7210612297058105"
"6","4.578321075439453","4.566155433654785","4.606420993804932","4.652846813201904","4.647078514099121","4.663358211517334","4.6876226425170895","4.685134410858154","4.691382884979248","4.716649723052979","4.7156081199646","4.717926979064941"
"7","4.546922016143799","4.524252414703369","4.577420711517334","4.620907020568848","4.613275527954102","4.636108875274658","4.675562191009521","4.672184467315674","4.680943965911865","4.713502979278564","4.712500095367432","4.714945316314697"
"8","4.498637962341308","4.470813274383545","4.527871608734131","4.582022953033447","4.574055194854736","4.600355625152588","4.660641002655029","4.655867576599121","4.668069839477539","4.710356521606445","4.709356784820557","4.711942195892334"
"9","4.444630432128906","4.411834239959717","4.492774963378906","4.542559719085693","4.534998893737793","4.558703422546387","4.6421174049377445","4.635525703430176","4.652142524719238","4.707161998748779","4.706116199493408","4.708888530731201"
"10","4.396868705749512","4.3696184158325195","4.432308197021484","4.505932426452636","4.5004119873046875","4.521018028259277","4.61953296661377","4.6115217208862305","4.6323957443237305","4.7039158821105955","4.702756881713867","4.705827713012695"
