"Step","opt.weight_decay: 1.5 - alpha_req/alpha_test","opt.weight_decay: 1.5 - alpha_req/alpha_test__MIN","opt.weight_decay: 1.5 - alpha_req/alpha_test__MAX","opt.weight_decay: 1 - alpha_req/alpha_test","opt.weight_decay: 1 - alpha_req/alpha_test__MIN","opt.weight_decay: 1 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.75 - alpha_req/alpha_test","opt.weight_decay: 0.75 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.75 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.5 - alpha_req/alpha_test","opt.weight_decay: 0.5 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.5 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.2 - alpha_req/alpha_test","opt.weight_decay: 0.2 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.2 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.1 - alpha_req/alpha_test","opt.weight_decay: 0.1 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.1 - alpha_req/alpha_test__MAX"
"1","1.6401666016364083","1.5191133845009375","2.0952962211248947","1.6340091816265883","1.502464189822005","2.0969126053953433","1.6196534806444691","1.4761196468823214","2.09568991901054","1.6398652202725839","1.472687173999234","2.095229733306283","1.6585324354842352","1.5173573616522422","2.096753108194532","1.6525788904809935","1.516086993315486","2.0952411270520255"
"200","3.0077466539637108","2.736237243720607","3.1361906978526446","3.0303038426099684","2.62603283090319","3.34731789817914","3.093294182823649","2.6334660763164917","3.4548209519107345","3.0914082828832856","2.640787099883063","3.401843973183496","3.0477501348814537","2.654753605761872","3.438022108117966","2.988754348769527","2.645536110687151","3.4490008195232607"
"400","2.7614796507936092","2.061393499590113","3.3241471409451235","3.263675323728022","2.837322815833001","4.173709123722951","3.0542867721556153","2.7428946350118295","3.30742958051651","3.2139419225779045","2.744432540839771","3.469227552011509","3.1574295052021473","2.828100715170529","3.4135973140093094","3.1210761575319346","2.727382313434556","3.3853731321226292"
"600","2.7700117279637544","2.29149479057935","3.260365825014843","2.9657858663690617","2.595050436118945","3.3613640353782457","2.871256492584282","2.443728989356213","3.270747925975466","3.2153646706120966","2.8204492185467327","3.7202073514462866","3.245469039117032","2.8902276780218705","3.4654328681244975","3.159605213001147","2.824799476961955","3.437390196792887"
"800","2.764259152806863","2.083312062704423","3.4026416625595206","2.9589916560330556","2.513429064557419","3.3634181019977945","3.1337257317530716","2.626734995261934","3.8470009381777173","2.906038741852991","2.4656083018147363","3.2936342370249188","3.2498250287166357","2.93217125436674","3.5079059203776346","3.19797863035875","2.8509268853255207","3.5049565520444332"
"1000","2.802018142765951","2.051623214225594","3.498151628295468","2.9942572055922136","2.456015101407362","3.547271577937026","2.973087189411482","2.562130063910885","3.432704456135317","2.9442737698671886","2.659144113497852","3.337337996734067","3.2331664455282727","2.7528157091004273","3.507024519258209","3.183820069299018","2.8687607304782663","3.524217739158963"
"1200","2.626896193101949","2.0816561219007683","3.385657988588517","2.9740111941050125","2.4116139380228256","3.494754369149694","2.9029757687723725","2.500646792206126","3.429629971737463","3.0146824239479004","2.671898747814388","3.350757583323195","3.244039358230716","2.7785256578789985","3.494770188457077","3.159310555579483","2.63545565553473","3.5210098012110005"
"1400","2.8434174629716713","2.058547862070859","4.004582691470901","2.9307565915387146","2.358156194698278","3.8676443926436557","2.9059051876403794","2.4685495800242236","3.440622139228178","3.028616557772086","2.683789539189484","3.3713180128310647","3.2726879113017815","2.7966482435099866","3.8028260013155637","3.177279434241105","2.633904772302155","3.526625659705402"
"1600","2.5319250014393355","2.0172997421763474","3.4583807941218834","2.9710201410011052","2.2610641311387285","4.032267486416032","2.935251794406213","2.4635491027606418","3.4728364733386403","3.03097484247996","2.6910250017468758","3.445826766371639","3.3971988735860066","2.808484346472499","3.820363884601146","3.191277995172025","2.636815858147319","3.544521058276565"
"1800","2.4473563861676895","1.9930116762183747","3.12812817512791","2.948904827248504","2.1294731615409246","4.137607883485135","2.9530501162831877","2.4292411570001646","3.501561045613908","3.061230903332719","2.6905227403295555","3.518333088584235","3.41495305061924","2.8186941111176806","3.8287321494631397","3.202366016850835","2.6404294891844167","3.564847086179205"
