"Step","opt.weight_decay: 1.5 - alpha_req/effective_rank_test","opt.weight_decay: 1.5 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 1.5 - alpha_req/effective_rank_test__MAX","opt.weight_decay: 1 - alpha_req/effective_rank_test","opt.weight_decay: 1 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 1 - alpha_req/effective_rank_test__MAX","opt.weight_decay: 0.75 - alpha_req/effective_rank_test","opt.weight_decay: 0.75 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 0.75 - alpha_req/effective_rank_test__MAX","opt.weight_decay: 0.5 - alpha_req/effective_rank_test","opt.weight_decay: 0.5 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 0.5 - alpha_req/effective_rank_test__MAX","opt.weight_decay: 0.2 - alpha_req/effective_rank_test","opt.weight_decay: 0.2 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 0.2 - alpha_req/effective_rank_test__MAX","opt.weight_decay: 0.1 - alpha_req/effective_rank_test","opt.weight_decay: 0.1 - alpha_req/effective_rank_test__MIN","opt.weight_decay: 0.1 - alpha_req/effective_rank_test__MAX"
"1","1.8179522275924682","1.7143633365631104","1.9257951974868774","1.8174280643463134","1.7112878561019897","1.9239238500595093","1.8161242485046387","1.707497000694275","1.9239188432693481","1.8209893703460693","1.7146941423416138","1.926165223121643","1.8219700574874877","1.7121074199676514","1.9287091493606567","1.8189628362655639","1.7152373790740967","1.929534673690796"
"200","27.72030906677246","26.645719528198242","28.9448184967041","29.988285064697266","28.894804000854492","31.77734375","30.992556762695312","30.000839233398438","32.6627311706543","31.853096771240235","30.80952262878418","33.303897857666016","32.84445762634277","31.8635196685791","34.033782958984375","32.97341613769531","32.00260925292969","34.017642974853516"
"400","32.020158767700195","29.028650283813477","34.199729919433594","33.82808151245117","31.181095123291016","35.64664840698242","34.357470703125","31.856918334960938","36.18723678588867","34.58558044433594","32.77168655395508","36.299068450927734","34.74426193237305","33.415706634521484","36.10018539428711","34.55849914550781","33.485313415527344","35.722164154052734"
"600","32.54032669067383","27.902128219604492","36.49140930175781","35.126464462280275","31.289262771606445","37.904300689697266","35.831790161132815","32.53545379638672","37.72399139404297","36.01698226928711","33.6639518737793","37.91800308227539","35.84495162963867","34.17759704589844","37.43454360961914","35.42606887817383","34.08363723754883","36.77383804321289"
"800","32.09758949279785","26.073328018188477","37.82926559448242","35.54560585021973","30.51129722595215","39.08147048950195","36.54933166503906","32.460914611816406","38.79081726074219","36.89024047851562","33.99301528930664","38.71548080444336","36.642374420166014","34.738548278808594","38.255401611328125","36.10481948852539","34.547080993652344","37.59333419799805"
"1000","31.421894073486328","23.824289321899414","38.65633773803711","35.64253120422363","29.56898307800293","39.75505828857422","36.89311141967774","32.11191940307617","39.42917251586914","37.43504104614258","33.98366165161133","39.31045150756836","37.251546478271486","35.13236618041992","38.840152740478516","36.65144653320313","34.91896438598633","38.24142837524414"
"1200","30.749592590332032","21.818212509155273","39.267127990722656","35.65465660095215","28.674467086791992","40.30661392211914","37.091143417358396","31.71539878845215","39.9445915222168","37.84525985717774","33.92889404296875","39.80432891845703","37.732225799560545","35.43256378173828","39.27286148071289","37.092742919921875","35.21138381958008","38.74972915649414"
"1400","30.416738510131836","20.21929931640625","39.973880767822266","35.80824432373047","28.02655792236328","40.926048278808594","37.40642967224121","31.504201889038086","40.58306121826172","38.30502090454102","34.020599365234375","40.36088943481445","38.147596740722655","35.684303283691406","39.67721176147461","37.43554153442383","35.4468994140625","39.131446838378906"
"1600","30.32935905456543","18.970685958862305","40.61357116699219","36.01186561584473","27.503482818603516","41.49382781982422","37.75243301391602","31.38625717163086","41.29698181152344","38.78512268066406","34.19689178466797","40.99317932128906","38.5321044921875","35.917903900146484","40.119197845458984","37.705239868164064","35.63149642944336","39.429725646972656"
"1800","30.02587776184082","17.801071166992188","40.96826171875","35.99948387145996","26.872663497924805","41.87491226196289","37.93181114196777","31.14695930480957","41.8258171081543","39.16233444213867","34.306705474853516","41.5413703918457","38.889224243164065","36.14122772216797","40.521339416503906","37.9394416809082","35.79408264160156","39.681907653808594"
"2000","29.483805465698243","16.702190399169922","41.03925704956055","35.81026000976563","26.142452239990234","42.111934661865234","37.968145751953124","30.77423095703125","42.186981201171875","39.42274703979492","34.312625885009766","41.973995208740234","39.21467742919922","36.350643157958984","40.86394119262695","38.16368865966797","35.954463958740234","39.913597106933594"
"2200","28.7783411026001","15.643750190734863","40.71031188964844","35.5120044708252","25.392532348632812","42.34473419189453","37.91053733825684","30.314722061157227","42.45124816894531","39.58852767944336","34.24018096923828","42.315528869628906","39.50016479492187","36.529815673828125","41.1525993347168","38.37569046020508","36.107200622558594","40.129425048828125"
"2400","27.95062599182129","14.662849426269531","39.79423522949219","35.149183654785155","24.651819229125977","42.69957733154297","37.778855895996095","29.763275146484375","42.64075469970703","39.68539123535156","34.10286331176758","42.59660339355469","39.76089782714844","36.70262908935547","41.39517593383789","38.58242950439453","36.251670837402344","40.33367156982422"
"2600","26.980610656738282","13.729940414428711","38.208099365234375","34.72586555480957","23.889209747314453","42.98904800415039","37.597072219848634","29.153955459594727","42.788612365722656","39.72198333740234","33.91170120239258","42.82216262817383","39.99443130493164","36.85114288330078","41.60105895996094","38.776974487304685","36.39055633544922","40.52864456176758"
"2800","25.81602954864502","12.854853630065918","37.51046371459961","34.28450050354004","23.146339416503906","43.24750900268555","37.37120742797852","28.50667381286621","42.88605880737305","39.711221313476564","33.66953659057617","43.005733489990234","40.20588684082031","36.98216247558594","41.774253845214844","38.96395263671875","36.52485275268555","40.71157455444336"
"3000","24.46337261199951","12.00376033782959","36.725833892822266","33.82206726074219","22.422876358032227","43.464561462402344","37.106015014648435","27.82794761657715","42.94670867919922","39.65861358642578","33.37478256225586","43.153079986572266","40.39784545898438","37.100868225097656","41.91802215576172","39.145958709716794","36.665775299072266","40.8842658996582"
"3200","22.89791374206543","11.189103126525879","35.816261291503906","33.36270523071289","21.710193634033203","43.6599235534668","36.80125122070312","27.13592529296875","43.11185836791992","39.584791564941405","33.05535125732422","43.28453063964844","40.57000579833984","37.204254150390625","42.028892517089844","39.31811447143555","36.78512191772461","41.05303192138672"
"3400","21.096366691589356","10.4165678024292","34.7695426940918","32.88144378662109","20.990211486816406","43.811912536621094","36.47922210693359","26.443979263305664","43.27058029174805","39.48125457763672","32.70322036743164","43.39113998413086","40.72335510253906","37.28952407836914","42.18724060058594","39.48103637695313","36.90250015258789","41.20909118652344"
"3600","19.160467529296874","9.607680320739746","33.611289978027344","32.388484954833984","20.270782470703125","43.88713455200195","36.14353561401367","25.769596099853516","43.420013427734375","39.35661392211914","32.31978225708008","43.47860336303711","40.86560211181641","37.364009857177734","42.35098648071289","39.64010238647461","37.01899719238281","41.3542366027832"
"3800","17.50495309829712","7.0793538093566895","32.34785461425781","31.87564125061035","19.547250747680664","43.9100456237793","35.804748153686525","25.1204776763916","43.57683181762695","39.21746711730957","31.929094314575195","43.552642822265625","40.9903060913086","37.42109298706055","42.50101089477539","39.78893280029297","37.13336181640625","41.491737365722656"
"4000","16.316363525390624","4.830370903015137","30.988508224487305","31.34364013671875","18.801982879638672","43.85324478149414","35.45110816955567","24.463722229003906","43.7422981262207","39.0621452331543","31.514854431152344","43.61192321777344","41.098558807373045","37.46470260620117","42.64671325683594","39.932637786865236","37.23774719238281","41.624202728271484"
"4200","15.459114980697631","3.651204824447632","29.472471237182617","30.778990173339842","18.007354736328125","43.69123458862305","35.094901657104494","23.83929443359375","43.90581512451172","38.89462394714356","31.099573135375977","43.66489028930664","41.19767837524414","37.5074577331543","42.7810173034668","40.07044677734375","37.33832931518555","41.74481201171875"
"4400","14.717104196548462","3.142620325088501","27.695232391357422","30.154860305786134","17.126300811767578","43.36848068237305","34.72189064025879","23.2039794921875","44.050445556640625","38.72152404785156","30.680267333984375","43.7070198059082","41.284210968017575","37.533748626708984","42.905696868896484","40.2008560180664","37.428062438964844","41.85858917236328"
"4600","13.841822957992553","2.9299848079681396","25.00926971435547","29.427904891967774","16.0579776763916","42.72200012207031","34.34210357666016","22.573572158813477","44.19328308105469","38.53779563903809","30.271085739135742","43.72044372558594","41.36016311645508","37.54426956176758","43.02895736694336","40.326534271240234","37.52445602416992","41.967220306396484"
"4800","12.62878975868225","2.827824831008911","20.736513137817383","28.532068824768068","14.779906272888184","41.579559326171875","33.94594039916992","21.951169967651367","44.30479431152344","38.347168350219725","29.852449417114258","43.72433090209961","41.420921325683594","37.54478454589844","43.13692092895508","40.44470901489258","37.607669830322266","42.06455993652344"
"5000","11.05100622177124","2.766580581665039","18.409074783325195","27.42415657043457","13.233922958374023","39.7067985534668","33.53697052001953","21.344209671020508","44.39097213745117","38.14627113342285","29.4365177154541","43.706844329833984","41.47289047241211","37.53893280029297","43.2387580871582","40.556619262695314","37.6867561340332","42.159019470214844"
"5200","9.772911643981933","2.7356491088867188","16.989559173583984","26.140812492370607","11.564299583435059","37.175899505615234","33.12790451049805","20.730484008789062","44.458858489990234","37.942168426513675","29.00779914855957","43.67904281616211","41.51658172607422","37.52711868286133","43.33016586303711","40.66512222290039","37.767311096191406","42.24323654174805"
"5400","8.956707286834718","2.7199907302856445","15.274380683898926","24.717960548400878","9.841066360473633","35.6016845703125","32.70165519714355","20.127674102783203","44.51518630981445","37.72599449157715","28.58513832092285","43.76786804199219","41.54752960205078","37.49152755737305","43.42009735107422","40.768925476074216","37.844722747802734","42.319454193115234"
"5600","8.385304069519043","2.704800605773926","14.52386474609375","23.209574890136718","8.272178649902344","34.782222747802734","32.264011001586915","19.52965545654297","44.551212310791016","37.51414260864258","28.142147064208984","43.8695068359375","41.56904754638672","37.45046615600586","43.4990119934082","40.86585922241211","37.914676666259766","42.3880500793457"
"5800","7.916756248474121","2.7013955116271973","14.454803466796875","21.64619607925415","7.0048041343688965","33.92353820800781","31.798021697998045","18.920835494995117","44.53252410888672","37.285417556762695","27.69828987121582","43.960575103759766","41.58848571777344","37.411495208740234","43.57347869873047","40.95602874755859","37.97591018676758","42.45095443725586"
"6000","7.557667541503906","2.693563461303711","14.372416496276855","20.097741222381593","6.13612699508667","32.985843658447266","31.312491607666015","18.328039169311523","44.46916198730469","37.05438003540039","27.231670379638672","44.06082534790039","41.594817352294925","37.35239791870117","43.641212463378906","41.04320373535156","38.03299331665039","42.50444030761719"
"6200","7.374918651580811","2.6841840744018555","14.33965015411377","18.750891876220702","5.972749710083008","32.02408981323242","30.784466171264647","17.725732803344727","44.30552291870117","36.820783615112305","26.769901275634766","44.16529846191406","41.59298553466797","37.28937911987305","43.701560974121094","41.125929260253905","38.09180450439453","42.552978515625"
"6400","7.339213418960571","2.688758134841919","14.284198760986328","17.828579235076905","7.016772747039795","30.920381546020508","30.19985008239746","17.079116821289062","44.04227828979492","36.57664756774902","26.303964614868164","44.27079391479492","41.583882904052736","37.20927429199219","43.756526947021484","41.2043571472168","38.14823532104492","42.59244918823242"
"6600","7.369440078735352","2.6875929832458496","14.246955871582031","17.16246862411499","7.422469615936279","29.659059524536133","29.54680824279785","16.43370246887207","43.61651611328125","36.331150436401366","25.83505630493164","44.37587356567383","41.571179962158205","37.13391876220703","43.80710983276367","41.28120651245117","38.19944763183594","42.63776397705078"
"6800","7.3972320556640625","2.681504726409912","14.219693183898926","16.266205024719238","6.472574234008789","28.117305755615234","28.7955171585083","15.66325855255127","43.017879486083984","36.093927001953126","25.393108367919922","44.493316650390625","41.550760650634764","37.04905319213867","43.84932327270508","41.35077590942383","38.24539566040039","42.69155502319336"
"7000","7.387844228744507","2.6815364360809326","14.18163013458252","15.211518478393554","5.73939323425293","26.05573081970215","27.919637298583986","14.772701263427734","42.21574020385742","35.83968544006348","24.923397064208984","44.60202407836914","41.522020721435545","36.94225311279297","43.88644027709961","41.414303588867185","38.283538818359375","42.77366256713867"
"7200","7.351449489593506","2.677436351776123","14.15656852722168","14.04975118637085","5.123786449432373","23.26595687866211","26.88879985809326","13.750060081481934","41.09260559082031","35.58839912414551","24.47391700744629","44.72186279296875","41.49126052856445","36.84300231933594","43.92216873168945","41.47775650024414","38.32699203491211","42.851768493652344"
"7400","7.316573238372802","2.679708957672119","14.121932983398438","12.75421495437622","4.602308750152588","19.394561767578125","25.674793434143066","12.574393272399902","39.59075164794922","35.33473892211914","24.026142120361328","44.8213996887207","41.45428314208984","36.72532272338867","43.94880676269531","41.53938446044922","38.369754791259766","42.931297302246094"
"7600","7.284757137298584","2.6764965057373047","14.109585762023926","11.549934005737304","4.199275970458984","15.302908897399902","24.286949348449706","11.344054222106934","37.66041946411133","35.07342376708984","23.574819564819336","44.92680740356445","41.411869812011716","36.59419250488281","43.974632263183594","41.59623565673828","38.405189514160156","43.00864791870117"
"7800","7.251826381683349","2.683837890625","14.076764106750488","10.70502791404724","3.9422619342803955","15.182693481445312","22.7452880859375","10.121631622314453","35.31974792480469","34.81117134094238","23.130599975585938","45.02214431762695","41.36633987426758","36.4661979675293","43.997169494628906","41.64802551269531","38.43627166748047","43.08339309692383"
"8000","7.221946430206299","2.675286293029785","14.061429023742676","10.13093614578247","3.77748966217041","15.06987190246582","21.052461051940917","8.972768783569336","32.476070404052734","34.542219924926755","22.716156005859375","45.103904724121094","41.31843643188476","36.326202392578125","44.016536712646484","41.69945373535156","38.46776580810547","43.154296875"
"8200","7.184678316116333","2.676110029220581","14.039072036743164","9.701990365982056","3.7015087604522705","14.955089569091797","19.252142333984374","7.915277481079102","30.257137298583984","34.26683464050293","22.289976119995117","45.18144989013672","41.26520767211914","36.19942092895508","44.03066635131836","41.7476318359375","38.50090408325195","43.2265739440918"
"8400","7.156919384002686","2.671976089477539","14.020570755004883","9.34556155204773","3.6529366970062256","14.860832214355469","17.422015953063966","6.983720779418945","28.905420303344727","33.98248062133789","21.910093307495117","45.242977142333984","41.20888061523438","36.04368209838867","44.04410171508789","41.791011810302734","38.52119445800781","43.29355239868164"
"8600","7.128332328796387","2.678406238555908","14.018672943115234","9.04317398071289","3.624044418334961","14.780441284179688","15.623754215240478","6.137196063995361","27.267831802368164","33.69933166503906","21.558610916137695","45.27809143066406","41.15475006103516","35.90177536010742","44.0573616027832","41.83360137939453","38.54403305053711","43.358028411865234"
"8800","7.096586418151856","2.6734046936035156","13.996026992797852","8.808893966674805","3.604440212249756","14.720185279846191","13.930775451660157","5.394611358642578","25.181427001953125","33.39680099487305","21.196727752685547","45.30596160888672","41.09443130493164","35.74475860595703","44.064693450927734","41.87198028564453","38.56802749633789","43.42019271850586"
