"Step","opt.weight_decay: 1.5 - grads/weight_norm","opt.weight_decay: 1.5 - grads/weight_norm__MIN","opt.weight_decay: 1.5 - grads/weight_norm__MAX","opt.weight_decay: 1 - grads/weight_norm","opt.weight_decay: 1 - grads/weight_norm__MIN","opt.weight_decay: 1 - grads/weight_norm__MAX","opt.weight_decay: 0.75 - grads/weight_norm","opt.weight_decay: 0.75 - grads/weight_norm__MIN","opt.weight_decay: 0.75 - grads/weight_norm__MAX","opt.weight_decay: 0.5 - grads/weight_norm","opt.weight_decay: 0.5 - grads/weight_norm__MIN","opt.weight_decay: 0.5 - grads/weight_norm__MAX","opt.weight_decay: 0.2 - grads/weight_norm","opt.weight_decay: 0.2 - grads/weight_norm__MIN","opt.weight_decay: 0.2 - grads/weight_norm__MAX","opt.weight_decay: 0.1 - grads/weight_norm","opt.weight_decay: 0.1 - grads/weight_norm__MIN","opt.weight_decay: 0.1 - grads/weight_norm__MAX"
"1","31.835931861858974","31.739207919164233","31.919488714038405","31.835931861858974","31.739207919164233","31.919488714038405","31.835931861858974","31.739207919164233","31.919488714038405","31.835931861858974","31.739207919164233","31.919488714038405","31.835931861858974","31.739207919164233","31.919488714038405","31.835931861858974","31.739207919164233","31.919488714038405"
"2","31.787735916248078","31.690529702918543","31.867929669281153","31.803653022620644","31.70639768716836","31.883888351733095","31.811610219876723","31.71433158881013","31.891867090583414","31.819567729946538","31.722265430190156","31.89984574714126","31.829118525774202","31.731786114241977","31.909421518426576","31.832301167994792","31.734958720320858","31.912611847385275"
"3","31.749555235735215","31.651593392083953","31.826556324868076","31.781339637731048","31.683279505053015","31.85842476513277","31.797236145255418","31.699128013194226","31.874362355754467","31.813136412236048","31.714980148508882","31.89030442177185","31.832226340941467","31.734009568304632","31.909445427953322","31.838587044516522","31.74035113442696","31.915820981235154"
"4","31.71965005863881","31.620505756191562","31.793689375126494","31.76725461242312","31.667958872346432","31.841423032005416","31.79107191514995","31.691701636812102","31.865304706576538","31.814901123836478","31.715455493930715","31.88919816289924","31.843518636818096","31.743982420639586","31.917892020850744","31.853055734276076","31.753488904641447","31.927455688761242"
"5","31.696563542657127","31.59557170502201","31.767836479217664","31.759937158129894","31.658739027888295","31.831386752970527","31.791654537649798","31.69035347574982","31.863192895933036","31.823396883677525","31.721991252188225","31.89502473018421","31.86152733109113","31.75999665767162","31.93326189621147","31.8742378764546","31.7726662295744","31.946007955868385"
"6","31.679209994689636","31.575509772334833","31.747677695581135","31.758292167833368","31.654323809241486","31.826990690698064","31.79788772201306","31.693787321573865","31.866700052964774","31.83752164023516","31.733287347498468","31.906448946490425","31.885146788669527","31.780751632338816","31.954211854987715","31.901025426747758","31.796577470966707","31.97013605866223"
"7","31.66694131540867","31.5596891152429","31.732317949393583","31.761670538840445","31.65408857070738","31.82732533052868","31.80911682613297","31.701371085663432","31.874910960353578","31.856623112338646","31.748711026677427","31.922556626655567","31.913721676798396","31.80561343377042","31.979822473086937","31.932761785844423","31.82458578291171","31.99891946875658"
"8","31.659553349860964","31.548035825596575","31.721364963021177","31.76987362378207","31.6579649631095","31.83200512523471","31.825150600350288","31.71304501496338","31.88744204167116","31.88050939890902","31.768207285596475","31.942961403149912","31.947065863798194","31.834529301677684","32.0097107458229","31.969264279734773","31.856648746155606","32.03197407718185"
"9","31.657191194884728","31.54092800093485","31.71485409417555","31.783064348007322","31.666348532701576","31.84107703912854","31.846158090042383","31.72921625351783","31.904346555000348","31.909361201044153","31.792194833696996","31.967726645399733","31.98536821614428","31.867931584534357","32.04394565475669","32.01072403450362","31.893197164765795","32.06937137017383"
"10","31.6602169600909","31.538993799466915","31.713301948989994","31.80162122733835","31.679892685833668","31.854907116830134","31.872525965161735","31.75054594756994","31.925958806324438","31.943572341983963","31.821339636319525","31.997192259634282","32.02903467099924","31.906500595857224","32.08288140577269","32.05755163879993","31.93491611367564","32.11147347157438"
"11","31.669058251222776","31.542894011134365","31.726224873542115","31.825986837111156","31.69926953361613","31.88339158840677","31.904705744369625","31.77771228466384","31.962229372265515","31.983600930238225","31.85633069994193","32.0412446297249","32.078531300377776","31.950930166061873","32.1363177716719","32.11021262561107","31.982501013737966","32.16804630568975"
"12","31.684098779857937","31.55312554162127","31.745618623013357","31.85655233054584","31.724979183589998","31.918350002694865","31.94309146544474","31.811218355813565","32.00502928313084","32.02984573915648","31.897673078949857","32.091922340242995","32.13426120516341","32.001728011204726","32.1965058699601","32.16911475072081","32.036461085257024","32.23141346065783"
"13","31.705610874549546","31.569949035893394","31.771709559296813","31.89359850852958","31.757288779506982","31.960018930823455","31.987966925842166","31.851332550678414","32.05454754874396","32.0825950141339","31.94563634740471","32.14933644703068","32.19651569487024","32.059166569529104","32.26344953319855","32.23455050487833","32.09707033092156","32.30154817726911"
"14","31.733786420465094","31.5934785704834","31.80464911874373","31.937322991232396","31.796313531590712","32.00854950182744","32.03953480050857","31.89817344673957","32.11094316426158","32.142050499906645","32.000339506255635","32.21363850699537","32.26550424953393","32.123367921212164","32.33731065126242","32.30672712070235","32.16445056087252","32.378606293474284"
"15","31.768779084035685","31.623780238334884","31.844552132009664","31.987883689369095","31.842124590509034","32.064059035560945","32.09795415259812","31.951815567607518","32.17433172686439","32.208378413970266","32.06186037373689","32.28495561983941","32.34138856738623","32.194412940902886","32.418207623909055","32.38581308239772","32.23868427327447","32.4627114813096"
"16","31.810721076897824","31.660921345243374","31.891539826417915","32.04541953795705","31.894800835128287","32.126677591776236","32.1633657101027","32.01233435382759","32.24484424630936","32.28171966506206","32.13027566420513","32.36341680154172","32.42432000739559","32.27238125389688","32.506279441440235","32.47195626257487","32.31985266019266","32.55400410999774"
"17","31.859715890340357","31.704956783884263","31.94572805580779","32.11003701475413","31.954393312236817","32.19652672273536","32.23587903394013","32.079789822239526","32.32260593597285","32.362186030171586","32.205651359539175","32.449148919886944","32.51440748665967","32.35733599020186","32.601655171507396","32.56526774290133","32.40801849983947","32.652607078508105"
"18","31.915837673391213","31.755931870823364","32.007220407325676","32.181810600778775","32.02095108821332","32.27370510207381","32.31556769393789","32.15423037875421","32.40771528148235","32.44985158274525","32.28803512005744","32.54225205706133","32.61172826644209","32.44933325225073","32.70442954576738","32.66582466847042","32.50323751903416","32.75862765054231"
"19","31.979143524828118","31.81389766238422","32.07607001454706","32.260796930468736","32.094531620837486","32.35826780155556","32.40248909715426","32.23571366282376","32.500229115778936","32.54477326440763","32.377484671788125","32.64278093945026","32.71633865326373","32.548431461823164","32.81466510713998","32.77368323798266","32.60556960007465","32.872112887127635"
