"Step","opt.weight_decay: 1.5 - alpha_req/rank_test","opt.weight_decay: 1.5 - alpha_req/rank_test__MIN","opt.weight_decay: 1.5 - alpha_req/rank_test__MAX","opt.weight_decay: 1 - alpha_req/rank_test","opt.weight_decay: 1 - alpha_req/rank_test__MIN","opt.weight_decay: 1 - alpha_req/rank_test__MAX","opt.weight_decay: 0.75 - alpha_req/rank_test","opt.weight_decay: 0.75 - alpha_req/rank_test__MIN","opt.weight_decay: 0.75 - alpha_req/rank_test__MAX","opt.weight_decay: 0.5 - alpha_req/rank_test","opt.weight_decay: 0.5 - alpha_req/rank_test__MIN","opt.weight_decay: 0.5 - alpha_req/rank_test__MAX","opt.weight_decay: 0.2 - alpha_req/rank_test","opt.weight_decay: 0.2 - alpha_req/rank_test__MIN","opt.weight_decay: 0.2 - alpha_req/rank_test__MAX","opt.weight_decay: 0.1 - alpha_req/rank_test","opt.weight_decay: 0.1 - alpha_req/rank_test__MIN","opt.weight_decay: 0.1 - alpha_req/rank_test__MAX"
"1","82.4","80","86","82.4","80","86","82.4","80","86","82.4","80","86","82.4","80","86","82.4","80","86"
"200","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"400","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"600","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"800","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"1000","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"1200","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"1400","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"1600","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"1800","127.4","126","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"2000","126.2","123","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"2200","124.8","119","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"2400","122.6","116","128","127.8","127","128","128","128","128","128","128","128","128","128","128","128","128","128"
"2600","121.2","112","128","127.2","124","128","128","128","128","128","128","128","128","128","128","128","128","128"
"2800","119.2","108","128","126.8","123","128","128","128","128","128","128","128","128","128","128","128","128","128"
"3000","117.2","105","128","126.4","122","128","128","128","128","128","128","128","128","128","128","128","128","128"
"3200","115","103","128","125.6","120","128","127.8","127","128","128","128","128","128","128","128","128","128","128"
"3400","111.6","98","128","124.8","118","128","127.8","127","128","128","128","128","128","128","128","128","128","128"
"3600","107.2","90","128","124","116","128","127.2","125","128","128","128","128","128","128","128","128","128","128"
"3800","100.8","79","127","123","114","128","126.6","123","128","128","128","128","128","128","128","128","128","128"
"4000","95.2","66","125","122","112","128","126.4","123","128","128","128","128","128","128","128","128","128","128"
"4200","89.4","54","123","120.8","110","128","125.4","120","128","128","128","128","128","128","128","128","128","128"
"4400","83","40","121","119.8","107","128","125","119","128","128","128","128","128","128","128","128","128","128"
"4600","77.4","32","116","118.6","104","128","124.8","119","128","128","128","128","128","128","128","128","128","128"
"4800","72.2","28","111","117.6","101","128","124","117","128","127.8","127","128","128","128","128","128","128","128"
"5000","66.2","25","101","115.6","97","127","123.8","116","128","127.6","127","128","128","128","128","128","128","128"
"5200","59.6","24","98","113.2","92","126","123.2","115","128","127.6","127","128","128","128","128","128","128","128"
"5400","53.6","23","95","110.6","86","124","122.4","112","128","127.4","126","128","128","128","128","128","128","128"
"5600","48.4","22","90","108","79","124","121.8","112","128","127.2","125","128","128","128","128","128","128","128"
"5800","43.8","21","84","104.2","72","123","121","109","128","126.8","124","128","128","128","128","128","128","128"
"6000","40.4","21","77","100.2","66","122","120","108","128","126.4","123","128","128","128","128","128","128","128"
"6200","37.2","20","70","96.4","60","120","118.8","106","128","126.4","123","128","128","128","128","128","128","128"
"6400","35.8","20","66","92.6","59","119","117.6","104","127","125.8","121","128","128","128","128","128","128","128"
"6600","34.4","19","63","89","57","116","116.6","102","127","125.6","121","128","128","128","128","128","128","128"
"6800","33.4","19","59","84.8","54","114","115","99","125","125.2","120","128","128","128","128","128","128","128"
