"Step","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"1","0.05479190722107887","0.04596354812383652","0.06291642785072327","0.06977779939770698","0.05872795730829239","0.08098098635673523","0.08756123036146164","0.07319612801074982","0.10241067409515381","0.09320434033870698","0.08045138418674469","0.10738775134086609","0.08011245429515838","0.05301384627819061","0.11539187282323837"
"200","24.501484680175782","18.983793258666992","31.201641082763672","77.0177619934082","63.15993118286133","96.63406372070312","112.6163101196289","92.07876586914062","147.71646118164062","128.71295166015625","108.8512191772461","168.86004638671875","357.9783630371094","275.4759826660156","503.60504150390625"
"400","68.49082565307617","55.1203727722168","85.20856475830078","82.12694549560547","67.56698608398438","105.09195709228516","95.76429901123046","80.63117980957031","125.22318267822266","127.52830505371094","102.4018783569336","183.66549682617188","727.281494140625","489.68206787109375","1102.274658203125"
"600","72.27098159790039","58.604061126708984","91.46673583984375","83.42027282714844","68.94808197021484","109.18569946289062","96.1670135498047","80.6795883178711","127.78575897216797","154.10271606445312","115.07907104492188","241.92611694335938","892.491748046875","585.6632080078125","1396.8970947265625"
"800","76.81877822875977","62.51332473754883","99.176025390625","87.32677917480468","72.30908203125","116.50725555419922","102.3743896484375","84.65669250488281","139.7447509765625","186.2341278076172","136.41651916503906","307.50927734375","888.34453125","620.3368530273438","1428.879150390625"
"1000","82.00377197265625","66.77577209472656","107.74829864501953","92.87587280273438","77.02454376220703","125.78401947021484","112.14901885986328","91.4747085571289","157.10865783691406","216.7673583984375","159.1687469482422","365.3721618652344","738.5841857910157","260.7893981933594","1319.5750732421875"
"1200","88.01823425292969","71.65029907226562","117.34932708740234","100.05260162353515","82.80924224853516","136.70143127441406","124.57097930908203","101.48890686035156","177.45997619628906","245.65119018554688","184.8003692626953","413.612060546875","726.6828002929688","99.5294189453125","1250.339111328125"
"1400","94.9754409790039","77.35893249511719","128.0146484375","108.87058715820312","89.94397735595703","149.27615356445312","139.6237548828125","115.21973419189453","200.59031677246094","275.06435241699216","200.4203338623047","457.33062744140625","567.3731872558594","103.65153503417969","1971.28466796875"
"1600","102.95330963134765","83.90634155273438","139.79615783691406","119.3065170288086","99.01189422607422","163.66192626953125","157.2342544555664","122.5590591430664","226.94552612304688","306.95054321289064","213.1033935546875","502.5971984863281","1077.357891845703","503.3227233886719","2680.739013671875"
"1800","112.01092681884765","90.52708435058594","152.94248962402344","131.35568389892578","108.20148468017578","179.85342407226562","177.16040954589843","128.71153259277344","255.3894805908203","340.5176086425781","220.1240234375","550.6531982421875","1332.5025512695313","776.8773193359375","3250.534912109375"
