"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"1","0.212956059739181","0.2129429714104367","0.21296431092185483","0.3065993081423583","0.3065643447253956","0.3066415379083159","0.4789711102446333","0.47886463366423665","0.4790627935686782","0.8513042392264063","0.8511228194957822","0.8514499414589473","1.914802236633824","1.914415613149214","1.9153215715687448"
"2","0.2001702016579295","0.19951742684551438","0.2015607367537305","0.282719916954861","0.28107073397607896","0.28456274926603825","0.4294329121201633","0.42558910929266097","0.43219927340128056","0.7248980172598841","0.7181194036062764","0.7301578707050935","1.4937590355248094","1.479664636860028","1.5056767645959583"
"3","0.1918659675531992","0.1908082845613476","0.19362412908151244","0.26787858457403224","0.26556845356571995","0.27011260975391804","0.39871708577550524","0.3943427593287569","0.40211117535969343","0.6651995477926085","0.6591747250414305","0.6736573096193089","1.3987793709967185","1.387330927073515","1.4194185396118877"
"4","0.18415587223244173","0.1827387149097345","0.18600645064425048","0.2541383257433679","0.25177032583391457","0.25674419549441707","0.3769486619852288","0.373219027581726","0.3817186257414504","0.6404776646865888","0.6339478249116721","0.6485380567512867","1.3539499041097935","1.3429090749444328","1.377177570761278"
"5","0.1768031296470345","0.17534086968233856","0.17884508012747882","0.24290664461711103","0.24069517907902702","0.24557482857752655","0.3647630219821101","0.3609028354413038","0.36943977915644416","0.6295293299746639","0.6233699639227701","0.6375024740463142","1.3378644126110852","1.323229948256431","1.3615981435419906"
"6","0.17013768073184515","0.1687347556093648","0.17242509765258118","0.23522028134493808","0.232578311249374","0.23839117314562178","0.3588119772986986","0.35468863223945846","0.36279041501690856","0.6235821269718235","0.6183829309628089","0.6311008064093813","1.3449424533633518","1.3312418499808214","1.3669985348208462"
"7","0.16476849078792113","0.163005784528109","0.16714444545622656","0.2306182435173166","0.22727160068943117","0.23372060223299695","0.3560045086795458","0.3523736688966419","0.3599214991685996","0.6208264234826266","0.6157485123650879","0.6287055075003559","1.3650749938679265","1.3525324958166745","1.3830139405556099"
"8","0.16092764385469402","0.15865088506283273","0.163244995015659","0.22820971211822005","0.22478588234165386","0.23073299430118313","0.3546407857503444","0.3514533155551888","0.3583123273172557","0.6213459720125122","0.6150479945380186","0.6296998366743721","1.3887641104756736","1.3750504721058834","1.4002639470605729"
"9","0.1584720371608907","0.15584443699289147","0.1608033519982319","0.22710518996472812","0.2239943028420016","0.2294296709974481","0.3541918386814521","0.3510420519956203","0.3577898793215636","0.6249171469386006","0.6179194286940561","0.6339357106378566","1.3942183890417004","1.3564820633292556","1.412521763498729"
"10","0.1570682616990756","0.15432999733923136","0.15916871558771328","0.2267019037816797","0.2239939688456901","0.2288773076940666","0.354450749730833","0.3509265579295655","0.3581577040849741","0.6313836747201421","0.6248750695662222","0.6409394088664389","1.3612778427625989","1.3237391968111862","1.3916500168654933"
"11","0.15638553713054404","0.15375513063584317","0.15817501253668126","0.226750381133825","0.2242451738486236","0.22890584054080315","0.3554617766369918","0.3515591521588007","0.3592993484386349","0.6397773363009305","0.6338073741209215","0.6491197035181461","1.286964213920319","1.266158267993134","1.3298180718749761"
"12","0.15618415149325002","0.15377811597237165","0.1577678752765993","0.22710846229208553","0.22451481742038748","0.22928026312764058","0.3572506331905203","0.35313057512624013","0.36131660746982613","0.649455646837645","0.6434078140164023","0.6578426106668704","1.193182789011748","1.1749528023941869","1.2248730244726216"
"13","0.15628903104464892","0.15409128789347112","0.15771916393478588","0.22771063559451257","0.22487845860336","0.2299252542411673","0.35977141105570604","0.35557009558996083","0.36426348807038317","0.6597790240522623","0.6534231004142786","0.6668113264737885","1.1278088935047763","1.0925580787896636","1.1495196865979769"
"14","0.15657962870746353","0.15452014900360006","0.15793579280229242","0.22855930333485674","0.22546524240638982","0.23089020773150146","0.36298994200980267","0.358807516567839","0.36796796795237763","0.6696865168685209","0.6636165557978855","0.6751480537330391","1.1031296537645923","1.0775912094503448","1.1308658582862043"
